blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1681509172442370487,1681509172742293487,299
2,1681509172750278487,1681509172954348487,204
3,1681509181802347487,1681509182014314487,211
4,1681509182022322487,1681509182242336487,220
5,1681509182502354487,1681509182922317487,419
6,1681509183122323487,1681509183394324487,272
7,1681509184398342487,1681509184850327487,451
8,1681509185530368487,1681509185770304487,239
9,1681509186318289487,1681509186470350487,152
10,1681509186478319487,1681509186886382487,408
11,1681509187494357487,1681509187834333487,339
12,1681509188734349487,1681509188998344487,263
13,1681509190642367487,1681509190982356487,339
14,1681509194754308487,1681509195174319487,420
15,1681509195658342487,1681509195854314487,195
16,1681509196130329487,1681509196570330487,440
17,1681509196986380487,1681509197270334487,283
18,1681509199254311487,1681509199574307487,319
19,1681509199682337487,1681509199866298487,183
20,1681509201094312487,1681509201542327487,448
21,1681509203002324487,1681509203274347487,272
22,1681509203514344487,1681509203874375487,360
23,1681509208054318487,1681509208410738487,356
24,1681509208982375487,1681509209422313487,439
25,1681509210870375487,1681509211206322487,335
26,1681509211966317487,1681509212302316487,335
27,1681509218170320487,1681509218490378487,320
28,1681509218518382487,1681509219090396487,572
29,1681509220406353487,1681509220718319487,311
30,1681509221186324487,1681509221614323487,427
31,1681509225950314487,1681509226282333487,332
32,1681509226710361487,1681509227046328487,335
33,1681509229054338487,1681509229506322487,451
34,1681509233226320487,1681509233650297487,423
35,1681509236454413487,1681509236886357487,431
36,1681509238874389487,1681509239206315487,331
37,1681509239982360487,1681509240218341487,235
38,1681509245118414487,1681509245542330487,423
39,1681509245854342487,1681509246026339487,171
40,1681509246138321487,1681509246542320487,403
41,1681509246734323487,1681509247134307487,399
42,1681509247142367487,1681509247370334487,227
43,1681509248850337487,1681509249098338487,248
44,1681509250702305487,1681509251118316487,416
45,1681509255666307487,1681509256134309487,468
46,1681509258522341487,1681509258782376487,260
47,1681509262930571487,1681509263406325487,475
48,1681509264734347487,1681509264930322487,195
49,1681509270266361487,1681509270542392487,276
50,1681509271750356487,1681509272162365487,412
51,1681509274438341487,1681509274966332487,527
52,1681509282626427487,1681509282882382487,255
53,1681509282978316487,1681509283274389487,296
54,1681509286342340487,1681509286698315487,355
55,1681509299510304487,1681509299874394487,364
56,1681509306894330487,1681509307114324487,219
57,1681509310674308487,1681509311070302487,395
58,1681509313690347487,1681509314042338487,351
59,1681509314834342487,1681509315094309487,259
60,1681509317590327487,1681509317858334487,268
61,1681509319622327487,1681509319970335487,348
62,1681509323806365487,1681509324242353487,435
63,1681509335778299487,1681509336226373487,448
64,1681509340902326487,1681509341346308487,443
65,1681509348490310487,1681509348934340487,444
66,1681509352158307487,1681509352542332487,384
67,1681509354014315487,1681509354270346487,256
68,1681509355342322487,1681509355466328487,124
69,1681509355746456487,1681509356034342487,287
70,1681509356354317487,1681509356730339487,376
71,1681509357806325487,1681509358226329487,420
72,1681509361442328487,1681509361842358487,400
73,1681509364386314487,1681509364574336487,188
74,1681509364850301487,1681509365210328487,360
75,1681509369082310487,1681509369422321487,340
76,1681509375338318487,1681509375746333487,408
77,1681509376994330487,1681509377586334487,592
78,1681509383314317487,1681509383734329487,420
79,1681509391730341487,1681509392110325487,379
