fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1,1681852108048555413,1681852108144648413,96,,,,
2,1681852108168553413,1681852108424700413,256,,,,
3,1681852108444596413,1681852108584551413,139,,,,
4,1681852108628545413,1681852109096608413,468,,,,
5,1681852109128597413,1681852109256617413,128,,,,
6,1681852109276590413,1681852109468598413,192,,,,
7,1681852109496579413,1681852110756588413,1260,632.1696321115538,569.4024270916335,7.1602162358565735,-3.362230206031475
8,1681852110948619413,1681852111060602413,111,653.1111118181817,443.9773554545454,8.772288000000001,6.081626759090908
9,1681852111120644413,1681852111828636413,707,739.0230893571429,481.67588471428576,15.247462317857142,3.222585292142857
10,1681852112032634413,1681852112908612413,875,783.5540132000001,436.0819545142857,18.688042211428574,6.595160359428571
11,1681852112944612413,1681852113784974413,840,813.5502939880952,476.99686625000004,20.899783339285715,3.5431714036309523
12,1681852113964582413,1681852114072564413,107,713.5571128571429,455.0233266666667,13.34502419047619,5.226474128571429
13,1681852114176587413,1681852114376579413,199,576.370006,594.6061915,2.9427535725,-5.27180301
14,1681852114488569413,1681852114760655413,272,671.8561014545454,613.6327287272727,10.192856645454542,-6.670792318181818
15,1681852114980618413,1681852115244568413,263,853.0389436538461,380.36127730769243,24.170238596153848,10.629834950000001
16,1681852115264564413,1681852116828574413,1564,848.3544620447284,342.2637336102236,23.991461853035144,13.443314747603832
17,1681852116976893413,1681852117796613413,819,664.9593770121951,541.3938641463415,9.635747087195123,-1.2533101985731707
18,1681852117824828413,1681852117972620413,147,763.2278986206898,476.6560855172414,17.084471965517242,3.5888492586206895
19,1681852118004611413,1681852119136608413,1131,765.5070301327434,470.6662664159292,17.263961741150442,4.035842232743363
20,1681852119208587413,1681852119504694413,296,841.4711623728814,409.0224652542373,23.173300966101696,8.536535561016949
21,1681852119536626413,1681852119744620413,207,812.2850897560976,494.9021390243903,20.781652439024388,2.220399409756097
22,1681852119804652413,1681852120208642413,403,850.71628278481,571.5938822784809,23.701153164556963,-3.4177337822784803
23,1681852120352730413,1681852120884631413,531,655.3623932075471,461.0089506603773,8.929206688679246,4.797730185849057
24,1681852120936703413,1681852124408592413,3471,660.2280953391054,345.075746017316,9.45865652958153,13.529553893217892
25,1681852124448606413,1681852125116628413,668,716.2070435074626,402.29725529850754,13.629470302238804,9.17584096641791
26,1681852125252631413,1681852125364627413,111,668.0949447826088,414.0683699999999,9.945394260869564,8.32582047826087
27,1681852125396634413,1681852125492624413,95,691.2336773684211,433.3998021052632,11.676992894736843,6.860270689473684
28,1681852125516701413,1681852126532608413,1015,657.579528275862,375.4985678325123,9.201237746305418,11.238703784729067
29,1681852126632617413,1681852126732649413,100,670.6948266666667,452.51985190476194,10.0982775,5.432308314285713
30,1681852126828576413,1681852126892617413,64,697.4566553846155,468.045726923077,12.112855923076921,4.256548961538462
31,1681852126996613413,1681852130952618413,3956,685.3517097718632,444.06226531051965,11.219556720532319,6.0615082001267435
32,1681852130972602413,1681852131528603413,556,670.5451978378378,400.0027624324324,10.1502559954955,9.383063076576576
33,1681852131788593413,1681852132812571413,1023,607.4060974509804,495.0731587745098,5.284214696078433,2.2390360335294117
34,1681852132852584413,1681852132956622413,104,591.8749052380952,486.8820666666667,4.111059719047619,2.8577396
35,1681852133004603413,1681852133092658413,88,654.3398294444445,417.33784944444443,8.893388905555556,8.086481755555557
36,1681852133116665413,1681852133636700413,520,696.5453866346154,387.67486625000004,12.157954004807692,10.290458235576924
37,1681852133696623413,1681852133928690413,232,655.2239486956521,560.9266669565218,8.90014252173913,-2.719511539478261
38,1681852133968636413,1681852135836685413,1868,652.0715807258065,586.7701880645161,8.680117040860216,-4.66060311922043
39,1681852135904657413,1681852136984611413,1079,629.8884163255813,668.016027116279,7.058750693023256,-10.778740820000001
40,1681852137204632413,1681852138368597413,1163,722.053052920354,533.433461460177,13.945067977876107,-0.6442531765132744
41,1681852138424573413,1681852138692585413,268,673.9190012962963,620.7276449999999,10.35623972222222,-7.201368687037037
42,1681852138728627413,1681852140377950413,1649,730.2382373860182,662.0757833738602,14.710386460486324,-10.240070051671731
43,1681852140524588413,1681852143608573413,3083,734.4500393811074,448.6751859120521,14.938402331433224,5.695571476221499
44,1681852143637308413,1681852144996608413,1359,695.7345911111112,380.69740396296294,12.109229898148149,10.81419955925926
45,1681852145076582413,1681852145408577413,331,695.6833362121213,461.8734233333334,11.983421212121213,4.720433118181818
46,1681852145440615413,1681852145812586413,371,694.1831897297296,543.87263,11.839870317567566,-1.4302218856756757
47,1681852145864584413,1681852146104594413,240,688.843396122449,431.3942587755102,11.49879469387755,7.012111981632653
48,1681852146128633413,1681852148064568413,1935,678.6277134625324,379.01328878552977,10.80369784754522,10.957351056847546
49,1681852148104658413,1681852149380629413,1275,675.6430311811023,387.6429724409449,10.562359999999998,10.309984771259844
50,1681852149416823413,1681852150668598413,1251,703.9594758634539,440.82499618473895,12.634155977911647,6.295948511646587
51,1681852150788567413,1681852151164568413,376,676.1582321333334,373.3832761333333,10.625384293333333,11.383026919999999
52,1681852151196588413,1681852151284604413,88,647.9190688235294,462.4209047058824,8.363787517647058,4.694098317647059
53,1681852151508581413,1681852152044570413,535,574.7144418691589,378.8754583177569,2.8475154084112146,11.02336928504673
54,1681852152197347413,1681852152484592413,287,729.0527707017544,465.090128245614,14.507952771929824,4.465924470175438
55,1681852152516600413,1681852152840588413,323,735.8783353030303,461.0478125757576,15.030315053030305,4.7646496863636365
56,1681852152868585413,1681852153972608413,1104,686.098926153846,433.898315882353,11.286499893665159,6.825249195475114
57,1681852154088602413,1681852154620587413,531,702.9287141904762,476.0171882857142,12.521085085714287,3.6571529609523807
58,1681852154644588413,1681852156252565413,1607,670.8262593059937,419.2708475394321,10.14409530126183,7.933860810410095
59,1681852156364613413,1681852157677839413,1313,653.7160268060835,403.9167486311787,8.8608385365019,9.099380447908745
60,1681852157696601413,1681852158868596413,1171,662.2264782978722,424.24980161702126,9.483739534042554,7.563576032340427
61,1681852159064593413,1681852163952596413,4888,645.9561547125256,384.5120233983573,8.29562968942505,10.566514440965092
62,1681852164012587413,1681852164692596413,680,658.1536481021897,498.07897963503655,9.121570343065695,2.007985860218978
63,1681852164736624413,1681852165384585413,647,632.8854961718749,411.353943984375,7.264252565625,8.54949421875
64,1681852165528576413,1681852166128592413,600,637.2886885,393.90227699999997,7.619393864166667,9.863934779166668
65,1681852166172581413,1681852167004677413,832,684.1660924550898,482.6174553892215,11.095395458083832,3.1665172449101786
66,1681852167048703413,1681852177264584413,10215,652.8741664720313,411.52005558881257,8.787300593032382,8.52712330902846
67,1681852177288574413,1681852177824589413,536,637.6385871962618,414.58560448598126,7.623026844859814,8.30357161682243
68,1681852177864611413,1681852178884578413,1019,685.0295668965516,468.16471817733986,11.170559463054188,4.251700384729063
69,1681852178924590413,1681852181024632413,2100,647.0449327684966,386.5060220286396,8.377294005011933,10.415070835322197
70,1681852181068602413,1681852181408599413,339,648.4958448529412,451.71921794117634,8.414872779411766,5.500359439705883
71,1681852181444586413,1681852181824585413,379,662.832267972973,530.7504585135135,9.469267202702703,-0.449303567972973
72,1681852181936577413,1681852183164569413,1227,649.8084883333332,619.0136833333332,8.528437587804877,-7.087159172357723
73,1681852183228587413,1681852183696601413,468,724.0418654838709,501.4169073118281,14.101103849462367,1.7506834376344085
74,1681852183736587413,1681852184064837413,328,711.7166463636364,431.1401328787878,13.237091681818178,7.017053312121211
75,1681852184088584413,1681852184372609413,284,688.0568338596491,410.68880298245614,11.468899745614035,8.567887157894738
76,1681852184392665413,1681852184812571413,419,678.8046040963856,444.3451722891568,10.721938795180721,6.043292943373495
77,1681852184864600413,1681852185348587413,483,669.4456717525773,433.05387123711336,10.027823128865979,6.895900075257732
78,1681852185448586413,1681852185568589413,120,678.31833625,603.5017975000001,10.673271270833334,-5.9069567958333336
