section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,1,1721679239646705223,1721679239866625223,220,420.062,753.924,-10.839378491888311,-15.890684480532169
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,2,1721679239922817223,1721679240118642223,196,356.712,873.15,-16.397595077935616,-24.678641930920964
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,3,1721679240266658223,1721679240382671223,116,792.446,520.379,17.63280397570853,1.6552183491284016
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,4,1721679240418857223,1721679241790638223,1372,754.356,485.84,14.772740583537885,4.247522744115869
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,5,1721679242022649223,1721679242258635223,236,402.962,644.015,-11.927996507533283,-7.622918634316183
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,6,1721679242298788223,1721679242658670223,360,383.588,696.346,-13.504573127218437,-11.526232197487873
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,7,1721679242718655223,1721679242946796223,228,567.402,707.016,0.5969911429993909,-12.443637009320927
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,8,1721679243130615223,1721679243970773223,840,777.852,557.365,16.522215614865438,-1.103992749132498
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,9,1721679244146641223,1721679244378699223,232,176.945,628.896,-29.120980626270047,-6.245384841882427
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,10,1721679244402828223,1721679244714702223,312,163.031,610.48,-30.140383627565598,-4.8932532226774414
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,11,1721679244806671223,1721679244986656223,180,247.252,836.541,-24.886148380323363,-21.579122731746306
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,12,1721679245026652223,1721679245470648223,444,348.455,915.147,-17.396357552457168,-27.786426708905353
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,13,1721679245662854223,1721679245738679223,76,12.383,589.595,-41.74263566815834,-3.2209590861183184
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,14,1721679245850632223,1721679245998802223,148,8.85,532.019,-41.98437199152293,0.7877545080976572
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,15,1721679246038645223,1721679246318846223,280,22.375,454.665,-41.128387931678425,6.193322209730231
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,16,1721679246346614223,1721679246598865223,252,144.454,457.329,-31.637812330143195,6.169888919571651
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,17,1721679246662684223,1721679247186626223,524,375.785,603.851,-13.946092989749804,-4.593439104863402
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,18,1721679248106670223,1721679248186695223,80,335.526,974.783,-19.075053606639397,-32.1887267835673
76cb7d52-6534-40ef-948d-4d30275d3c5e,ceaff085-617e-4b7d-b657-b5a4c09b61d1,19,1721679248262616223,1721679248474693223,212,396.409,950.598,-13.701796603608189,-30.60497582715213
