section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,1,1678734533641623189,1678734533781805189,140,445.809,659.994,-7.908395204584975,-9.00111401534221
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,2,1678734533973597189,1678734534394235189,421,441.48,650.25,-8.227529182659291,-8.26557361471646
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,3,1678734534489611189,1678734534825614189,336,690.872,453.506,10.716005827090127,6.5246893273866355
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,4,1678734534869587189,1678734535057600189,188,840.093,435.707,22.064159679928558,7.714370895936497
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,5,1678734535289635189,1678734535901616189,612,406.895,752.207,-11.077162221376145,-15.898085207426567
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,6,1678734535941807189,1678734536181607189,240,442.39,636.903,-8.144998733387954,-7.261509619218101
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,7,1678734536345592189,1678734536617826189,272,351.67,769.431,-15.438903748997646,-17.099287941255437
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,8,1678734536705589189,1678734536905630189,200,322.439,356.659,-17.527086254436583,13.683070151860447
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,9,1678734537161629189,1678734537589625189,428,392.075,800.104,-12.400735663425957,-19.470027507932446
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,10,1678734537673603189,1678734537993618189,320,561.296,997.898,0.9820045677099533,-34.62702478912319
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,11,1678734538161601189,1678734538477593189,316,407.268,640.706,-10.82006018207174,-7.528797104518997
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,12,1678734538509611189,1678734538673609189,164,347.498,651.526,-15.389128514390292,-8.291977391467032
a5ce85e1-34e2-48e6-8e05-d55c2aca382a,fddc8f9a-cca1-4bf6-a036-e753321f12c0,13,1678734538725695189,1678734538929610189,204,439.092,588.442,-8.36145553351902,-3.613111125818001
