section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,1,1681143356125662552,1681143356561672552,436,659.864,258.78,9.624221216225822,21.93081989485026
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,2,1681143356649736552,1681143356829723552,180,579.279,421.831,3.075221174329925,9.668299809772975
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,3,1681143356861717552,1681143357745733552,884,543.281,411.278,0.3275454905254398,10.47127813514495
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,4,1681143357781696552,1681143357933715552,152,663.32,418.984,9.494963347987465,9.844374777719755
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,5,1681143357953672552,1681143358021651552,68,682.652,417.276,10.97423463067854,9.958276835079662
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,6,1681143358042888552,1681143358241746552,199,686.149,428.578,11.222295594588354,9.105650084911694
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,7,1681143358333670552,1681143358501720552,168,683.302,421.554,11.016603626200421,9.635975927298807
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,8,1681143358585761552,1681143359489690552,904,672.489,418.777,10.195526298872329,9.853262204135259
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,9,1681143359509694552,1681143359629732552,120,682.515,410.867,10.975150441032708,10.440396494026247
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,10,1681143359657766552,1681143359965930552,308,631.516,399.137,7.089572707033303,11.361865166599605
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,11,1681143360005805552,1681143360566055552,560,671.881,394.159,10.191798860865239,11.706920432437178
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,12,1681143360585658552,1681143360761741552,176,624.423,378.874,6.571694358870679,12.896224183264188
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,13,1681143360861737552,1681143361277799552,416,684.943,387.401,11.2080610395085,12.20302571051516
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,14,1681143361297713552,1681143361525698552,228,682.767,386.235,11.043417831576326,12.292909667149996
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,15,1681143361589678552,1681143362145705552,556,522.571,411.899,-1.2559748407354785,10.423445310309555
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,16,1681143362205719552,1681143362749728552,544,430.493,471.906,-8.232835367247363,5.8647130047789755
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,17,1681143362933796552,1681143363093696552,160,734.264,454.882,14.842216719050594,7.095133452384537
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,18,1681143363133891552,1681143363689710552,556,784.901,513.526,18.60869948792912,2.6921065310618637
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,19,1681143363805689552,1681143363965702552,160,433.984,673.112,-8.008209977271267,-9.299056730231985
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,20,1681143364025699552,1681143364361723552,336,336.639,703.283,-15.506645742539298,-11.469529654105402
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,21,1681143364601710552,1681143364729791552,128,458.83,774.895,-6.243422000638923,-16.989161043333176
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,22,1681143364761662552,1681143364909683552,148,421.458,768.363,-9.137729946655977,-16.460071630993088
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,23,1681143364941715552,1681143365025720552,84,411.822,769.226,-9.889030875648256,-16.513462245556102
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,24,1681143365085753552,1681143365289711552,204,333.74,699.399,-15.717965524069163,-11.175600175051837
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,25,1681143365405682552,1681143365613705552,208,220.052,532.128,-24.13181851388638,1.2970222127861322
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,26,1681143365705716552,1681143366165693552,460,305.919,533.966,-17.6249515969882,1.1746474586531161
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,27,1681143366221726552,1681143367257841552,1036,236.727,456.584,-22.98077673077713,6.866255804954479
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,28,1681143367293852552,1681143369009788552,1716,295.64,465.033,-18.478779765218952,6.298510831383166
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,29,1681143369049685552,1681143369521735552,472,307.808,354.862,-17.88049478587228,14.51697516271019
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,30,1681143369585719552,1681143369945965552,360,290.153,301.276,-19.531337052001916,18.469373643900266
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,31,1681143369973664552,1681143370181708552,208,271.401,319.186,-20.893522210054652,17.089958585444247
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,32,1681143370209748552,1681143370301712552,92,285.883,319.973,-19.75674714436168,17.067525347681322
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,33,1681143370329722552,1681143371213679552,884,319.308,325.198,-17.120357522184833,16.7533269503699
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,34,1681143371269751552,1681143372181670552,912,241.749,493.54,-22.524206282099794,4.146425418776277
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,35,1681143372361710552,1681143372457727552,96,718.025,467.509,13.589748205017795,6.160918882978151
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,36,1681143372549722552,1681143372705735552,156,751.664,412.657,16.25942678493399,10.234077936169925
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,37,1681143372781682552,1681143372909716552,128,746.248,761.373,16.08418418864918,-15.79824214621275
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,38,1681143372977713552,1681143373041756552,64,780.141,917.232,19.824189979851166,-27.327749492130646
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,39,1681143373141752552,1681143373513713552,372,749.858,913.951,17.30578430873002,-27.192300248175677
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,40,1681143373553707552,1681143374241707552,688,791.953,936.053,20.996830462580878,-28.683602082960483
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,41,1681143374937726552,1681143375017705552,80,295.852,484.344,-18.431028887970378,4.8627362731154715
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,42,1681143375069737552,1681143375225735552,156,282.527,312.86,-20.0602445578306,17.588112160110487
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,43,1681143375245703552,1681143375681679552,436,325.223,364.517,-16.496002283642387,13.827485023776564
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,44,1681143375753649552,1681143375869678552,116,370.963,315.547,-13.12962242338706,17.574277023502674
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,45,1681143375949716552,1681143376105733552,156,650.362,315.118,8.703280840907919,17.68746145443599
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,46,1681143376517705552,1681143376669818552,152,699.615,485.44,12.173218851001037,4.825516636881913
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,47,1681143376769710552,1681143376905861552,136,747.439,699.773,15.963926939480666,-11.199657272822265
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,48,1681143376977688552,1681143377245741552,268,620.064,355.281,6.2688841660182435,14.681369858526931
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,49,1681143377293705552,1681143377645769552,352,764.089,454.988,17.110085613566486,7.062490119692559
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,50,1681143377761705552,1681143377893664552,132,685.017,931.75,12.092716450800141,-28.724152944039403
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,51,1681143377921729552,1681143378301704552,380,697.775,916.65,13.048492565284953,-27.55123062781373
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,52,1681143378534406552,1681143378917711552,383,538.743,411.804,-0.01944545443894306,10.431524969402734
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,53,1681143379065727552,1681143379205662552,140,803.997,968.871,22.40374247825724,-31.07506128087485
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,54,1681143379245655552,1681143379469655552,224,771.404,905.036,18.99320885806541,-26.449868050387373
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,55,1681143379649673552,1681143379829664552,180,364.782,278.907,-13.771442681458915,20.316828926006306
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,56,1681143380181727552,1681143380337669552,156,292.064,232.551,-19.869563126229068,23.59865267361568
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,57,1681143380365677552,1681143380481672552,116,382.669,231.603,-12.581279745174662,23.918366724349514
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,58,1681143380518231552,1681143380661660552,143,458.897,257.86,-6.379792592187745,22.052291556934108
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,59,1681143380778203552,1681143380993698552,215,575.723,276.39,2.906027813415651,20.679262996807623
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,60,1681143381168021552,1681143381241666552,74,887.008,520.104,26.352351209321107,2.1700907781164482
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,61,1681143381261752552,1681143381341674552,80,852.359,535.999,23.70831196515535,1.0134803580258884
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,62,1681143381441689552,1681143381513797552,72,950.565,867.466,33.14591556221845,-22.8739711863965
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,63,1681143381553730552,1681143382093880552,540,936.464,941.363,33.11711688159705,-28.28113071590399
3df46d52-5336-49f9-a880-62221425e24c,9312549b-bb4f-4d28-a5df-65a248bedb46,64,1681143382141703552,1681143382633746552,492,817.629,769.747,21.677521929502063,-16.25919498088281
