section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,1,1689874719944893545,1689874719972882545,28,40.003086217437,3.015128466518698,1465.4672906925114,1912.602352378059
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,2,1689874720392772545,1689874720428759545,36,57.268789571590524,4.317132796491789,1686.7890819139259,2323.238475810839
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,3,1689874721312812545,1689874721344764545,32,30.339245483578942,2.2892862475473517,1067.0619169005988,1136.0008075526966
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,4,1689874721548827545,1689874721576810545,28,35.73612457103043,2.6814969997662907,1522.068487776423,1777.9274787151428
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,5,1689874722068794545,1689874722148822545,80,224.66033805412775,16.886873112076618,2792.1365092044,4179.551582833205
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,6,1689874722280822545,1689874722376807545,96,293.59481651923,22.089273278997577,3181.310299101025,3980.0875860284928
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,7,1689874722836837545,1689874722932849545,96,361.89427712554124,26.556029645480095,3860.704140925102,5353.971230661991
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,8,1689874723112826545,1689874723200820545,88,484.2725370588617,36.55885723436058,5471.393137906379,9548.30856525118
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,9,1689874723412821545,1689874723436802545,24,25.572909266682746,1.9172182909703106,1168.1065560112834,1347.5933949294717
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,10,1689874724364757545,1689874724404817545,40,80.21976057702845,6.021729877791081,2088.5259152520994,2803.382770694973
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,11,1689874724960766545,1689874724980855545,20,21.20693228023976,1.5956633985969586,1108.1723689699618,1197.0813361159412
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,12,1689874725248788545,1689874725280776545,32,51.458121400379355,3.8547195916687436,1540.0260382394367,1998.2819955378288
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,13,1689874726204892545,1689874726252790545,48,136.52107463402686,10.148620184434968,3205.5935253899224,4693.926047721874
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,14,1689874726404740545,1689874726524735545,120,200.02957528164836,14.807191710890088,2507.2521257647472,4709.651632404191
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,15,1689874726704758545,1689874726852774545,148,394.01216704741296,29.625216547228124,3173.029983389681,8107.033601874481
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,16,1689874727132753545,1689874727172753545,40,95.02268340197163,7.178329573650819,2407.0700423456433,3539.507351524997
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,17,1689874728084791545,1689874728176759545,92,277.8134008531184,20.93133447118335,3146.060818886801,4851.178526736173
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,18,1689874728488730545,1689874728548736545,60,211.09503947369643,15.853908943985711,3607.062889438479,5552.166629576493
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,19,1689874728792775545,1689874728872761545,80,158.48115127818772,11.859796620299726,2965.8417290481834,6638.910826276317
24f76fe9-7313-470d-a53e-c1714c06cbb5,35c0d1f4-0e1b-4944-ba64-1af08dce342c,20,1689874729128750545,1689874729164754545,36,70.811210803078,5.309183307275415,2136.652741058072,2636.824746452489
