section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,1,1686844633179866019,1686844633675924019,496,547.896,482.622,0.6745654839192893,5.073758859589713
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,2,1686844633707898019,1686844638596013019,4888,639.698,503.518,7.623278871460171,3.483390199560056
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,3,1686844638723845019,1686844638803854019,80,421.177,842.771,-9.37786959016889,-22.064051336799878
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,4,1686844638835880019,1686844638907906019,72,498.629,828.078,-3.196204242349394,-21.03331206349295
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,5,1686844638963998019,1686844639191830019,228,689.98,828.672,11.957323051651336,-20.94655551424984
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,6,1686844639227848019,1686844639599876019,372,741.206,799.425,15.861543376714552,-18.649904049826542
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,7,1686844639811828019,1686844639975836019,164,772.936,361.298,18.067633764258435,14.03282428015219
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,8,1686844640007865019,1686844640831850019,824,721.107,376.512,14.016340176247663,12.977985394201983
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,9,1686844640959843019,1686844641323836019,364,890.949,390.344,27.04610561742247,11.645928474429887
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,10,1686844641431846019,1686844641499857019,68,766.181,297.544,17.852190985887177,18.80274984339157
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,11,1686844641536081019,1686844642483819019,948,619.668,327.188,6.2831763608176745,16.804923505964254
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,12,1686844642603838019,1686844642991857019,388,455.626,880.938,-6.738535363583222,-24.99542213858772
57ac3ddb-5712-4127-a876-c5dea21dc0c8,0848caf9-ade4-4333-b262-92042402c395,13,1686844643083829019,1686844643271831019,188,544.011,641.818,0.38083229274008135,-6.964780353448777
