section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,1,1691526943226730010,1691526943922779010,696,742.312,463.818,14.599035981836654,5.721558170792634
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,2,1691526943942828010,1691526945290762010,1348,760.764,454.287,16.009516061073853,6.4191640359391835
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,3,1691526945462860010,1691526945630827010,168,691.272,474.055,10.727024893611336,4.9823452316723085
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,4,1691526945678917010,1691526946026825010,348,728.469,536.492,13.506083416595764,0.29577866779299306
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,5,1691526946414805010,1691526946566819010,152,436.813,764.861,-8.784112225767947,-16.884747223134916
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,6,1691526946618872010,1691526946766779010,148,561.571,668.443,0.9141960594385831,-9.664551749727947
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,7,1691526946838857010,1691526947114853010,276,401.195,838.362,-11.842898495371644,-22.359571520802486
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,8,1691526947150828010,1691526947350829010,200,364.805,855.846,-14.850862405314754,-23.592445777890237
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,9,1691526947390917010,1691526947974908010,584,429.957,782.306,-9.365446618034683,-18.189250465986884
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,10,1691526948338914010,1691526948438787010,100,750.323,528.989,15.155350803431924,0.8549270562447271
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,11,1691526948467017010,1691526948558803010,92,701.293,529.943,11.456862784954518,0.7873926537018157
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,12,1691526948650888010,1691526948762819010,112,656.746,668.024,8.168324456894531,-9.597644674697792
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,13,1691526948786786010,1691526949606863010,820,643.071,741.664,7.225745489179032,-15.14825209167718
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,14,1691526949638804010,1691526949778760010,140,649.394,789.443,7.812555365572916,-18.73787258190954
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,15,1691526949818787010,1691526950070857010,252,696.003,659.435,11.144796947104506,-8.92414887442156
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,16,1691526950118851010,1691526950186913010,68,645.659,751.7,7.443617957909304,-15.901130955859522
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,17,1691526950494837010,1691526950566807010,72,503.761,911.758,-3.7892200106768175,-28.044089426697017
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,18,1691526950846772010,1691526951122789010,276,522.009,936.79,-2.320410467495879,-29.956988672367903
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,19,1691526951162787010,1691526951362828010,200,614.791,929.678,5.394316051345857,-29.375787313306112
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,20,1691526951502800010,1691526951570855010,68,492.326,916.158,-4.741895848514838,-28.36918957127266
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,21,1691526951654785010,1691526951754755010,100,436.574,926.467,-9.395742414435036,-29.07443183713745
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,22,1691526951846778010,1691526952094795010,248,515.034,942.68,-2.912575567885253,-30.402187903601767
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,23,1691526952130776010,1691526952306762010,176,450.549,948.193,-8.337813266726272,-30.748607487868753
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,24,1691526953034791010,1691526953278800010,244,621.115,827.917,5.667769899965757,-21.668431814197145
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,25,1691526953318803010,1691526953506805010,188,665.903,848.443,9.288980151281347,-23.156560922167667
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,26,1691526953618790010,1691526953938811010,320,587.508,899.743,3.086254547388532,-27.130363946326124
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,27,1691526954246783010,1691526954314850010,68,565.161,558.791,1.1788976803938427,-1.3860503654707774
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,28,1691526954426792010,1691526954518800010,92,611.417,536.278,4.672668286899268,0.3136722755231155
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,29,1691526954614803010,1691526954694798010,80,578.264,493.112,2.171172693236887,3.573069072649726
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,30,1691526955374781010,1691526955478805010,104,746.794,426.603,14.998985218843092,8.495869296479546
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,31,1691526955686794010,1691526955826771010,140,472.703,476.496,-5.823453664318331,4.821894157389686
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,32,1691526955878839010,1691526956038817010,160,489.099,651.906,-4.603402873515894,-8.409196098843625
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,33,1691526956078786010,1691526956294825010,216,504.583,764.024,-3.5059594562375915,-16.872015418878796
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,34,1691526956354787010,1691526956654840010,300,352.954,853.094,-15.785977232376764,-23.35606884284859
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,35,1691526956686804010,1691526956830838010,144,427.699,871.135,-9.860977337961687,-24.8755410243942
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,36,1691526956882802010,1691526957010783010,128,339.247,792.965,-16.524794182956196,-18.830020950441416
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,37,1691526957038873010,1691526957550783010,512,394.748,789.544,-12.149165768976905,-18.682290137636294
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,38,1691526957590876010,1691526958106772010,516,483.753,809.532,-5.20132724277913,-20.29465342533621
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,39,1691526958174768010,1691526958574793010,400,355.332,792.396,-15.257283785035689,-18.822350986665242
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,40,1691526958618785010,1691526958779034010,160,366.026,889.258,-14.971594975846594,-26.102291573069067
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,41,1691526958818779010,1691526959250803010,432,354.825,904.048,-15.999134489501584,-27.18032878807302
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,42,1691526959282765010,1691526959834797010,552,421.665,871.794,-10.351899612363828,-24.914541602906677
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,43,1691526959958791010,1691526960634770010,676,532.238,769.5,-1.3560868637318217,-17.292702030418816
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,44,1691526960674772010,1691526960858814010,184,558.307,864.025,0.6905480458676816,-24.43685595268648
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,45,1691526960890793010,1691526961066824010,176,574.005,922.628,2.0020583512671615,-28.87616208177005
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,46,1691526961118789010,1691526961846790010,728,500.109,802.467,-3.9008588570964555,-19.771558108268263
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,47,1691526961874794010,1691526962126782010,252,516.179,846.311,-2.6807917921153845,-23.09211377568305
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,48,1691526962146769010,1691526962386791010,240,553.481,862.186,0.3019494891381313,-24.29844918712589
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,49,1691526962410793010,1691526962898874010,488,560.174,888.657,0.8474987077315475,-26.302684522711754
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,50,1691526962942773010,1691526963730796010,788,512.439,814.813,-2.943171619016424,-20.709693204413313
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,51,1691526963754784010,1691526964203096010,448,528.262,879.445,-1.7416233089897921,-25.604360995532378
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,52,1691526964234772010,1691526964466803010,232,479.524,882.744,-5.702391383096339,-25.82391858738145
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,53,1691526964626902010,1691526965826768010,1200,474.339,896.488,-6.164090156372048,-26.859243698791712
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,54,1691526965854782010,1691526967526803010,1672,461.061,864.009,-7.141868852783675,-24.386434626178985
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,55,1691526967666907010,1691526968570812010,904,431.232,851.701,-9.496554656523337,-23.415906102546924
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,56,1691526968806789010,1691526968938770010,132,621.917,184.652,5.894078243472817,26.853159027950745
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,57,1691526968986790010,1691526969166785010,180,712.914,149.392,13.554889115593955,29.335932214068407
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,58,1691526969258785010,1691526969414785010,156,617.305,135.649,5.653940180541616,30.586032520123986
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,59,1691526969698797010,1691526969766815010,68,784.101,467.134,17.756222474290915,5.445648509894348
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,60,1691526970318792010,1691526970850779010,532,710.568,260.454,12.731785693322927,20.9821105508922
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,61,1691526970886780010,1691526971278795010,392,668.891,323.249,9.260124551734156,16.330121521556908
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,62,1691526971562814010,1691526971686766010,124,307.911,624.771,-18.352620883914522,-6.263436479801931
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,63,1691526971790911010,1691526971930785010,140,374.841,849.414,-14.00720827423134,-23.134230904773773
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,64,1691526971954756010,1691526972114862010,160,406.706,872.207,-11.563850322941105,-24.91691049623851
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,65,1691526972146793010,1691526973018807010,872,396.703,885.497,-12.447897190772437,-25.896311255683464
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,66,1691526973078807010,1691526974342773010,1264,268.825,867.074,-22.68481769584112,-24.1252692946863
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,67,1691526974370977010,1691526975318804010,948,282.353,854.629,-21.476508943602582,-23.25330297537607
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,68,1691526975378767010,1691526975542788010,164,355.108,785.912,-15.244201444542364,-18.337329772701132
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,69,1691526975770780010,1691526975862773010,92,125.948,395.426,-32.55436543028522,10.429227347580795
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,70,1691526975930761010,1691526976114786010,184,271.157,269.413,-22.031168214154853,20.038350164744617
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,71,1691526976170852010,1691526976246802010,76,480.866,201.24,-5.589028712373877,25.61069107316181
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,72,1691526976438804010,1691526976598811010,160,544.491,261.047,-0.41114397070704745,21.108175075102405
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,73,1691526976638793010,1691526976786839010,148,694.119,248.077,11.481477249555976,21.944710531178274
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,74,1691526976826826010,1691526976914786010,88,723.571,217.821,13.983463699848501,24.15321896217382
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,75,1691526977006760010,1691526977758809010,752,634.322,181.953,6.915543723610679,27.041225286142602
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,76,1691526978190795010,1691526978302782010,112,381.883,815.715,-13.273345783902657,-20.622011908963067
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,77,1691526978338784010,1691526978534776010,196,409.099,865.485,-11.337012761284795,-24.41545350947404
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,78,1691526978570777010,1691526979230762010,660,484.752,911.305,-5.353185312111097,-27.993687035073123
879a2c40-cd5e-45a2-9b3c-3645ccc05ad6,dc926c45-7e94-4150-9f84-cbd30b9dc027,79,1691526979406822010,1691526979610761010,204,377.327,937.576,-14.403442783588517,-29.77126253349026
