section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,1,1711122834280039123,1711122834348042123,68,386.792,605.968,-12.336425348957999,-4.911763191049062
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,2,1711122834388064123,1711122834696036123,308,512.401,604.905,-2.8152916441422016,-4.866956229313453
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,3,1711122834728034123,1711122835184043123,456,495.192,670.826,-4.15104903778276,-9.83797656984577
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,4,1711122835224102123,1711122835684253123,460,508.903,596.947,-3.0784902196199297,-4.2659570124512305
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,5,1711122835732102123,1711122836068410123,336,482.866,689.815,-5.108359156404273,-11.265645630172617
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,6,1711122836100222123,1711122837248043123,1148,402.418,731.535,-11.366967297573762,-14.341057705482275
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,7,1711122837276049123,1711122838052010123,776,404.142,795.754,-11.434369237563047,-19.16367394711645
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,8,1711122838232047123,1711122838656081123,424,572.01,868.738,1.7967688654634277,-24.789502910451425
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,9,1711122838700430123,1711122838968037123,268,654.5,849.035,8.379881442024558,-23.219402915990127
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,10,1711122839016020123,1711122839260148123,244,545.592,854.269,-0.33091162210355113,-23.699758738083435
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,11,1711122839376087123,1711122839572039123,196,374.796,311.754,-13.637733364082163,17.128483910326743
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,12,1711122839612029123,1711122839808034123,196,329.951,424.173,-16.74173609229394,8.664571845413638
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,13,1711122839836025123,1711122840256073123,420,314.739,500.583,-17.777426806489256,2.9652865009173808
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,14,1711122840548094123,1711122840884034123,336,504.24,459.297,-3.43900823839406,6.1252233556950095
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,15,1711122841064013123,1711122841156061123,92,387.427,977.51,-13.889435737955765,-32.8226313558898
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,16,1711122841216025123,1711122841316502123,100,457.635,888.773,-7.501714069219022,-26.254348394645287
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,17,1711122841336065123,1711122842520025123,1184,452.517,870.686,-7.853221949174214,-24.879967150738803
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,18,1711122842564035123,1711122843004033123,440,498.769,882.114,-4.138120780368804,-25.792573068584854
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,19,1711122843040021123,1711122843324031123,284,415.116,875.688,-10.900429508836117,-25.195920928200696
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,20,1711122843372081123,1711122843516010123,144,497.894,859.339,-4.165887305017577,-24.067922571385026
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,21,1711122843572046123,1711122844092031123,520,573.648,886.995,1.942608030704198,-26.17184461794351
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,22,1711122844596040123,1711122844964115123,368,524.222,480.248,-1.9192480148051754,4.545277393166987
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,23,1711122845008091123,1711122845432043123,424,628.681,501.102,5.981383292788106,2.9646725220916585
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,24,1711122845460042123,1711122845648133123,188,630.884,520.581,6.143853211549398,1.4963816896703435
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,25,1711122846028032123,1711122846288039123,260,443.352,641.946,-8.076645651508686,-7.641524434566352
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,26,1711122846340030123,1711122846564013123,224,395.435,720.607,-11.877402597905611,-13.512955451171623
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,27,1711122846608013123,1711122846884244123,276,425.599,780.531,-9.701490505966591,-18.05026363910648
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,28,1711122846936048123,1711122847116038123,180,306.606,758.395,-18.902107847151406,-16.183620733509215
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,29,1711122847204019123,1711122847760039123,556,585.706,399.673,2.760243423961515,10.626067151171886
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,30,1711122847820366123,1711122848140042123,320,383.677,468.848,-12.580063096077192,5.366381562248838
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,31,1711122848188067123,1711122848336057123,148,327.348,590.253,-16.829047443766555,-3.7090738080347094
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,32,1711122848396046123,1711122848684042123,288,393.318,777.029,-12.215065768583374,-17.74121954911662
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,33,1711122848724032123,1711122849144032123,420,413.711,852.866,-10.90697414518969,-23.473924834898465
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,34,1711122849212011123,1711122849488081123,276,285.529,700.357,-20.275255849879365,-11.838735853102829
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,35,1711122849524194123,1711122849712027123,188,242.135,646.923,-23.421665646605607,-7.828329433429904
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,36,1711122849752060123,1711122849960209123,208,245.104,590.99,-23.076597285590076,-3.7173889274000267
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,37,1711122850020182123,1711122850268020123,248,387.06,436.382,-12.365029902818442,7.8022240134817995
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,38,1711122850316013123,1711122851040046123,724,359.188,559.084,-14.397638978777797,-1.3932161294403025
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,39,1711122851072054123,1711122851204023123,132,391.227,533.467,-11.971019833816126,0.5233206121452189
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,40,1711122851244032123,1711122851592007123,348,383.528,466.683,-12.593705821370307,5.528525892697205
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,41,1711122851692005123,1711122851820021123,128,740.63,478.272,14.455199095783806,4.643299975850467
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,42,1711122851856032123,1711122852616099123,760,632.578,517.657,6.272215074578355,1.7166585577434927
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,43,1711122852796035123,1711122853720057123,924,339.839,562.576,-15.863790101610407,-1.6503809274111718
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,44,1711122854044141123,1711122854308013123,264,742.276,672.656,14.69090381190364,-9.8682874985906
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,45,1711122854352014123,1711122854600028123,248,682.935,760.016,10.352391203893918,-16.48330477582421
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,46,1711122854664016123,1711122854852130123,188,464.35,817.405,-6.751461687978519,-20.87196281361578
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,47,1711122855368055123,1711122855452039123,84,227.525,644.653,-24.53322400149729,-7.6417644745173074
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,48,1711122855496050123,1711122855648046123,152,273.126,489.991,-20.947235277565255,3.731367491271334
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,49,1711122855672031123,1711122855996028123,324,247.916,466.498,-22.903870140795597,5.446530345377055
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,50,1711122856436047123,1711122856556023123,120,589.921,664.284,3.0741800132487165,-9.345726443773826
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,51,1711122856592048123,1711122856884020123,292,555.134,670.538,0.4233681603267452,-9.823160219026864
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,52,1711122856904018123,1711122857012070123,108,448.142,595.259,-7.679409772732983,-4.128404020945553
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,53,1711122857420095123,1711122857536028123,116,777.122,649.512,17.28985424163879,-8.105447443276557
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,54,1711122857580065123,1711122857816038123,236,648.23,704.915,7.565649107343246,-12.378599821155087
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,55,1711122857840047123,1711122858252020123,412,642.811,680.656,7.1203003174684065,-10.556788321458395
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,56,1711122858300070123,1711122858492003123,192,615.839,540.125,5.006469980059225,0.023514787941330027
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,57,1711122858536020123,1711122858844040123,308,531.476,558.425,-1.3668562577656262,-1.3585372188200713
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,58,1711122858912153123,1711122858988089123,76,557.366,345.586,0.5987452967459047,14.716131826083044
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,59,1711122859028043123,1711122859516042123,488,579.945,315.018,2.3597436612807976,17.020323305306867
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,60,1711122859616037123,1711122859836026123,220,591.911,760.027,3.285107820093979,-16.5672135081297
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,61,1711122859896024123,1711122860356011123,460,418.913,625.858,-9.918212940901352,-6.419911280205645
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,62,1711122860668108123,1711122861340022123,672,357.029,615.832,-14.605787029265176,-5.633846554001912
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,63,1711122861396027123,1711122861720045123,324,367.113,739.038,-14.120559587217029,-14.854657091083551
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,64,1711122861948039123,1711122862020018123,72,785.361,814.712,18.59738329533713,-20.35687965250449
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,65,1711122862100054123,1711122862456010123,356,678.718,747.661,9.994193450737603,-15.56123696757925
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,66,1711122862476023123,1711122862828042123,352,681.713,758.349,10.253170955475001,-16.359782820811436
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,67,1711122863096053123,1711122863604026123,508,314.644,451.902,-17.850326745731135,6.585601794831882
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,68,1711122863692029123,1711122863812043123,120,410.208,833.616,-11.103493460342968,-22.019186177791205
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,69,1711122863856017123,1711122864056069123,200,435.254,883.672,-9.302871123877209,-25.83477850544947
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,70,1711122864136049123,1711122864304000123,168,317.69,524.156,-17.539820447850996,1.2125876539105302
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,71,1711122864348095123,1711122866436024123,2088,318.429,413.827,-17.64781356163335,9.421886240582882
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,72,1711122866496033123,1711122866736037123,240,281.51,572.103,-20.290629399188013,-2.3418322359127957
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,73,1711122866776069123,1711122867012042123,236,329.072,665.249,-16.82617043091211,-9.29549530586054
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,74,1711122867036019123,1711122867464033123,428,330.322,625.189,-16.64872100971896,-6.3130934341317
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,75,1711122867492008123,1711122867836060123,344,336.281,621.181,-16.18935068232003,-6.018980589095437
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,76,1711122867884054123,1711122868096057123,212,296.825,481.313,-19.15784300317713,4.387850303821333
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,77,1711122868116063123,1711122868924070123,808,257.885,513.993,-22.081759587492986,1.9524825310902403
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,78,1711122868956028123,1711122869444065123,488,249.988,465.194,-22.748508451132956,5.544458183443751
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,79,1711122869480039123,1711122869816148123,336,241.125,558.284,-23.34961669623172,-1.3098527902422012
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,80,1711122870040026123,1711122870560031123,520,700.874,688.266,11.565739997587835,-11.080815119415568
3db6c9b5-2273-45f3-a326-2f8342ed0db4,5f750422-7f19-4f65-9774-519aa524186b,81,1711122870628070123,1711122870860040123,232,455.53,761.963,-7.320505924590594,-16.68494903821408
