section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,1,1721314018289522797,1721314018509540797,220,514.205,398.54,-1.9000396113743865,11.433058532336988
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,2,1721314018933557797,1721314019253561797,320,576.579,571.338,2.8420744505085698,-1.635360622740621
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,3,1721314019317561797,1721314020093644797,776,751.244,761.17,16.471276760137023,-15.773467022630427
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,4,1721314020145609797,1721314021137598797,992,561.196,685.812,1.6962006647516616,-10.288371359219038
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,5,1721314021853570797,1721314022061560797,208,1004.374,556.913,35.322295115088565,-0.49860733035365046
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,6,1721314022101593797,1721314022349561797,248,916.853,528.138,28.619629525391982,1.575249510042714
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,7,1721314022381775797,1721314022529574797,148,809.196,559.742,20.43388765638841,-0.7391166592980913
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,8,1721314022629575797,1721314022689579797,60,1091.509,560.985,42.096762398600184,-0.7611594336717031
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,9,1721314022733549797,1721314022833570797,100,1001.612,579.198,35.12419678483945,-2.086825225689425
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,10,1721314022873576797,1721314023265570797,392,944.646,505.074,30.77194009237035,3.2331408142521134
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,11,1721314023429678797,1721314027529554797,4100,743.058,719.792,15.687332037974095,-12.700049513553708
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,12,1721314027553563797,1721314028005582797,452,480.541,891.16,-4.746134669878761,-25.796535731094295
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,13,1721314028029567797,1721314030493576797,2464,566.245,906.141,2.2283775617438004,-26.954668489071565
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,14,1721314030529577797,1721314030613567797,84,724.34,798.686,14.534889984078408,-18.63034869075606
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,15,1721314030713561797,1721314031965542797,1252,724.051,654.159,14.077066255549456,-7.817010574955555
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,16,1721314031989582797,1721314032069575797,80,811.255,695.821,20.84217333682866,-10.807827903137328
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,17,1721314032665565797,1721314032805580797,140,386.844,500.898,-11.519434814609095,3.6676108925150572
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,18,1721314032917584797,1721314033097580797,180,668.361,751.483,10.014561592384208,-15.176779541215012
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,19,1721314033169558797,1721314033401955797,232,556.657,756.968,1.3690565651114766,-15.66552481582336
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,20,1721314033457621797,1721314033945552797,488,513.353,610.239,-1.942903096882924,-4.576646415446281
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,21,1721314034565559797,1721314034645557797,80,863.579,412.734,24.833996216783827,10.060247816479615
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,22,1721314034849544797,1721314035173583797,324,809.242,620.266,20.493120221798698,-5.219871665169125
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,23,1721314035449676797,1721314035957570797,508,552.802,622.882,1.0467603860314263,-5.533035810477509
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,24,1721314036037576797,1721314036157556797,120,466.502,593.09,-5.486618228592445,-3.2755262360982034
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,25,1721314036217557797,1721314036425615797,208,409.094,538.191,-9.821795162003408,0.8672415976378306
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,26,1721314036465572797,1721314036933555797,468,360.593,485.429,-13.520838203747953,4.818113866823678
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,27,1721314037001558797,1721314037221663797,220,604.813,514.593,4.979822630550389,2.652383511373343
01b8b551-c5d3-4dd5-bc42-b683e5649bd2,48e5d160-28c1-4a98-8cab-5f3e1d328664,28,1721314037253620797,1721314037549587797,296,753.626,553.541,16.227368679566393,-0.2837496671159986
