section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,1,1642802643981623507,1642802644133604507,151,506.791,674.414,-2.5558251861757393,-11.252022943502913
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,2,1642802644157651507,1642802644233617507,75,471.941,670.833,-5.213692318463037,-10.969306860430224
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,3,1642802644249634507,1642802644437631507,187,484.687,683.501,-4.250063311231675,-11.928061125813787
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,4,1642802644457642507,1642802644793624507,335,481.789,681.641,-4.470241794978498,-11.78687480487909
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,5,1642802644813643507,1642802644873652507,60,509.016,673.996,-2.3858063316306204,-11.221120633081652
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,6,1642802644917766507,1642802645165655507,247,463.162,688.58,-5.901221125277159,-12.298458441332299
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,7,1642802645229665507,1642802645325650507,95,472.125,687.232,-5.214039503932005,-12.202394081452585
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,8,1642802645345676507,1642802645481644507,135,458.793,686.837,-6.233526932518524,-12.164760141593751
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,9,1642802645501603507,1642802645865709507,364,472.89,690.794,-5.158829094834571,-12.47061509747786
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,10,1642802645885705507,1642802647121661507,1235,488.606,687.575,-3.95323052456627,-12.236250115755533
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,11,1642802647213667507,1642802647569667507,356,501.47,680.108,-2.9649514963402046,-11.67909782695081
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,12,1642802647661615507,1642802648365606507,703,503.918,682.742,-2.779036374941111,-11.878067441730614
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,13,1642802648385612507,1642802648921870507,536,494.423,682.087,-3.50471859821019,-11.825654380819039
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,14,1642802648941822507,1642802649173793507,231,494.919,683.677,-3.467711121857706,-11.945473537665194
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,15,1642802649201617507,1642802650029773507,828,503.776,679.826,-2.7885638607379892,-11.658585468205716
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,16,1642802650049659507,1642802652029663507,1980,506.435,681.551,-2.586017491548498,-11.789170835104228
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,17,1642802652049746507,1642802652305693507,255,492.767,671.645,-3.625057239399562,-11.039237828649298
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,18,1642802652325623507,1642802652669648507,344,497.891,673.865,-3.235143851032614,-11.208077709729295
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,19,1642802652765653507,1642802654381614507,1615,492.445,676.683,-3.6526694038855565,-11.418253972192405
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,20,1642802654401647507,1642802655149686507,748,499.12,670.371,-3.13956558480516,-10.945476203040345
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,21,1642802655177699507,1642802656137678507,959,509.054,672.296,-2.3822006139485272,-11.093120767633252
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,22,1642802656157713507,1642802656849668507,691,498.48,670.589,-3.1885320172046527,-10.961702777843518
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,23,1642802656885636507,1642802657901646507,1016,506.721,674.828,-2.561368683559859,-11.28314821081485
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,24,1642802657921663507,1642802658473683507,552,496.221,685.982,-3.3695068075105827,-12.119356545681134
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,25,1642802658505642507,1642802658801663507,296,519.572,680.421,-1.5813171534311612,-11.707090174758253
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,26,1642802658817661507,1642802659189708507,372,508.748,682.46,-2.409572828097934,-11.858230936375639
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,27,1642802659209684507,1642802660125637507,915,508.668,681.239,-2.415211109672367,-11.766274959245196
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,28,1642802660137685507,1642802660509971507,372,520.502,674.759,-1.508849566780288,-11.280928647677358
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,29,1642802660529667507,1642802660713764507,184,508.256,676.164,-2.444643981501034,-11.384150660344398
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,30,1642802660733696507,1642802660813749507,80,526.304,679.237,-1.0664259054326184,-11.618948026035222
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,31,1642802660905656507,1642802661109689507,204,529.382,679.95,-0.8312423475324284,-11.67295386249672
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,32,1642802661181681507,1642802661997722507,816,514.963,679.624,-1.933382384755665,-11.646137164632309
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,33,1642802662021665507,1642802663545715507,1524,515.833,681.296,-1.8673832765981657,-11.77219021293787
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,34,1642802663625654507,1642802663745721507,120,526.237,674.306,-1.0707649173311058,-11.24762265685104
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,35,1642802663765685507,1642802663917696507,152,541.776,663.964,0.11567314099687193,-10.469658073200499
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,36,1642802663945646507,1642802664441689507,496,508.299,658.511,-2.4348642978682564,-10.054964593450139
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,37,1642802664501693507,1642802664605652507,103,523.406,677.899,-1.2876652897923466,-11.517786988932139
22083288-5390-427e-97b3-95dc35abb5e0,42b8753d-5582-4286-89bb-1cbd3ab1e441,38,1642802664630351507,1642802664753692507,123,500.658,675.904,-3.0248584756699683,-11.362410195075078
