section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,1,1674251140609359193,1674251140813354193,203,581.441,564.343,3.1091566750882964,-2.955600277460586
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,2,1674251140933346193,1674251141057316193,123,530.952,528.51,-0.7037280678680526,-0.2514970835451315
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,3,1674251141085473193,1674251141153506193,68,555.422,571.739,1.144331834533154,-3.515245582571921
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,4,1674251141177402193,1674251141317281193,139,595.279,520.746,4.151652025217704,0.3352318218755727
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,5,1674251141397321193,1674251141509380193,112,633.032,548.453,7.00274669718512,-1.7516741897637202
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,6,1674251141657432193,1674251141909340193,251,541.093,510.402,0.06164140634748445,1.1163371397797306
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,7,1674251141961489193,1674251142205336193,243,536.856,535.222,-0.2581489927479466,-0.7584438421609243
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,8,1674251142229401193,1674251142645463193,416,536.311,513.71,-0.29927956211598616,0.8664477611878457
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,9,1674251142745408193,1674251143069402193,323,543.837,519.665,0.2687444363987976,0.41659461390619124
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,10,1674251143097367193,1674251143685398193,588,553.974,514.035,1.0339705955412544,0.8418830382744658
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,11,1674251143873379193,1674251143997416193,124,550.305,508.662,0.7570863875059791,1.2477606065246496
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,12,1674251144021321193,1674251144193507193,172,573.464,515.5,2.505139253872383,0.7312191866911719
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,13,1674251144213446193,1674251145641335193,1427,547.191,491.399,0.5223715999793053,2.552203549447376
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,14,1674251145669342193,1674251149473437193,3804,512.649,485.288,-2.0871196484154386,3.013318026521723
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,15,1674251149493932193,1674251170713403193,21219,512.399,483.531,-2.106143232996189,3.1460469232380763
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,16,1674251170733307193,1674251173309435193,2576,510.562,481.467,-2.2451386426923805,3.301894820833335
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,17,1674251173329345193,1674251182001294193,8671,511.971,482.082,-2.1386477699242765,3.255498222176017
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,18,1674251182017436193,1674251189233341193,7215,514.005,481.608,-1.9850597590784782,3.291415802066856
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,19,1674251189253338193,1674251189313321193,59,448.832,454.379,-6.920886842906512,5.337645317541719
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,20,1674251189345339193,1674251189573331193,227,485.104,509.81,-4.164038458165144,1.160417164682683
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,21,1674251189601308193,1674251189877398193,276,520.059,485.79,-1.5273144389862476,2.9756332533645278
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,22,1674251189897398193,1674251190169394193,271,554.555,485.447,1.078912307115945,3.0019100531171965
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,23,1674251190201353193,1674251202509336193,12307,508.654,482.095,-2.389286124064754,3.2543274949044596
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,24,1674251202529489193,1674251211413291193,8883,508.234,481.421,-2.4210893464392167,3.3052224135595973
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,25,1674251211433512193,1674251211969402193,535,513.278,485.512,-2.0395760949293447,2.996375407848884
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,26,1674251212049345193,1674251212257519193,208,550.67,495.385,0.7850209646673413,2.250979425656308
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,27,1674251212533350193,1674251212601306193,67,554.154,440.961,1.052566319864458,6.364666325032817
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,28,1674251212981383193,1674251213189346193,207,392.185,586.646,-11.189631864399747,-4.604538525120988
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,29,1674251213221341193,1674251213293521193,72,354.22,585.599,-14.054593396143007,-4.506209602138105
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,30,1674251213361276193,1674251213469312193,108,252.55,521.313,-21.690612551819,0.3016272222993251
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,31,1674251213769306193,1674251213845326193,76,270.93,568.043,-20.32085239549543,-3.1518318045030207
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,32,1674251215741284193,1674251215869306193,128,395.288,574.65,-10.947922708986486,-3.7067154915182883
a31ad919-7cb5-45d1-a17a-8a2f3739283a,30043b06-49a0-45ec-b867-02e321d4b09c,33,1674251215957428193,1674251216017392193,59,459.256,543.732,-6.113459669584024,-1.3969297036207629
