blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1658079378658208121,1658079378934431121,276
2,1658079390882201121,1658079391162078121,279
3,1658079392602072121,1658079392790237121,188
4,1658079404222099121,1658079404530172121,308
5,1658079422562074121,1658079422866002121,303
6,1658079436670103121,1658079436822067121,151
7,1658079437186027121,1658079437342070121,156
8,1658079451606231121,1658079451793982121,187
9,1658079459706131121,1658079459922052121,215
10,1658079461434112121,1658079461774098121,339
11,1658079462078068121,1658079462250055121,171
12,1658079469702077121,1658079469982041121,279
13,1658079473246050121,1658079473398071121,152
14,1658079486570111121,1658079486830078121,259
15,1658079504202088121,1658079504437992121,235
16,1658079520738060121,1658079520914066121,176
17,1658079535462093121,1658079535658101121,196
18,1658079538258125121,1658079538426025121,167
19,1658079604886063121,1658079605170074121,284
20,1658079623078125121,1658079623458073121,379
21,1658079627470109121,1658079627738056121,267
22,1658079631690092121,1658079631966081121,275
23,1658079642750068121,1658079642922056121,171
24,1658079667534051121,1658079667882060121,348
25,1658079685694065121,1658079686022076121,328
26,1658079687182046121,1658079687338043121,155
27,1658079690750049121,1658079691026044121,275
28,1658079693674017121,1658079693950079121,276
29,1658079703578094121,1658079703730056121,151
30,1658079713110016121,1658079713282043121,172
31,1658079720018074121,1658079720214166121,196
32,1658079722318056121,1658079722742060121,424
33,1658079742418058121,1658079742578004121,159
34,1658079745002007121,1658079745258229121,256
35,1658079754262083121,1658079754430058121,167
36,1658079766626035121,1658079766906072121,280
37,1658079767322034121,1658079767478064121,156
38,1658079771578197121,1658079771706086121,127
39,1658079771718082121,1658079771829977121,111
40,1658079771838074121,1658079771954154121,116
41,1658079777946060121,1658079778106067121,160
42,1658079816066082121,1658079816294128121,228
43,1658079831930063121,1658079832346068121,416
44,1658079861218058121,1658079861402130121,184
45,1658079868358066121,1658079868478118121,120
46,1658079875090098121,1658079875418081121,327
47,1658079877354081121,1658079877694112121,340
48,1658079903430257121,1658079903714120121,283
49,1658079940866035121,1658079941062316121,196
50,1658079963802114121,1658079964014060121,211
51,1658079975702137121,1658079975902116121,199
52,1658079999618088121,1658079999802072121,183
53,1658080014698070121,1658080014982086121,284
54,1658080018242089121,1658080018438152121,196
55,1658080031286342121,1658080031534152121,247
56,1658080069090086121,1658080069350054121,259
57,1658080079594053121,1658080079722051121,127
58,1658080087594250121,1658080087774074121,179
59,1658080087778059121,1658080087938058121,159
60,1658080148734050121,1658080148938144121,204
61,1658080160142037121,1658080160382088121,240
62,1658080240638121121,1658080240862045121,223
63,1658080252794063121,1658080253022039121,227
64,1658080258350087121,1658080258502100121,152
65,1658080258702057121,1658080258910086121,208
66,1658080258926172121,1658080259246080121,319
67,1658080262518146121,1658080262785982121,267
68,1658080267942065121,1658080268238052121,295
69,1658080276294067121,1658080276458033121,163
70,1658080319233981121,1658080319442064121,208
71,1658080382894066121,1658080383202044121,307
72,1658080401426071121,1658080401654080121,228
73,1658080420218045121,1658080420398066121,180
74,1658080430066070121,1658080430278093121,212
