blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1663443318190081403,1663443318702053403,511
2,1663443318966040403,1663443319218048403,252
3,1663443322270111403,1663443322454072403,183
4,1663443322466036403,1663443323042085403,576
5,1663443325214058403,1663443325410077403,196
6,1663443325670041403,1663443325978101403,308
7,1663443366463894403,1663443366784094403,320
8,1663443381521165403,1663443381833134403,311
9,1663443392702325403,1663443393022311403,319
10,1663443421650407403,1663443421930364403,279
11,1663443431618537403,1663443431818398403,199
12,1663443442552583403,1663443442760860403,208
13,1663443446421037403,1663443446641076403,220
14,1663443463775946403,1663443463980007403,204
15,1663443475879735403,1663443476207686403,327
16,1663443499695352403,1663443499983248403,287
17,1663443503414624403,1663443503691512403,276
18,1663443509819287403,1663443510039387403,220
19,1663443514243638403,1663443514455722403,212
20,1663443524173340403,1663443524497284403,323
21,1663443531213910403,1663443531513935403,300
22,1663443541272051403,1663443541540132403,268
23,1663443551497215403,1663443551734356403,237
24,1663443555969626403,1663443556213742403,244
25,1663443563808768403,1663443564065358403,256
26,1663443564377254403,1663443564773266403,396
27,1663443570532299403,1663443570749013403,216
28,1663443574008654403,1663443574300679403,292
29,1663443578389647403,1663443578549654403,160
30,1663443581209137403,1663443581449161403,240
31,1663443593428633403,1663443593649041403,220
32,1663443594401230403,1663443594765497403,364
33,1663443601135670403,1663443601399790403,264
34,1663443609891425403,1663443610239484403,348
35,1663443615768890403,1663443616024984403,256
36,1663443621569109403,1663443621841148403,272
37,1663443629665745403,1663443629937766403,272
38,1663443633322073403,1663443633601993403,279
39,1663443639752778403,1663443640044736403,291
40,1663443640909081403,1663443641297003403,387
41,1663443643433223403,1663443643753767403,320
42,1663443646523317403,1663443646799708403,276
43,1663443649901251403,1663443650181177403,279
44,1663443654112522403,1663443654396561403,284
45,1663443654653006403,1663443654952909403,299
46,1663443657221389403,1663443657541527403,320
47,1663443658667609403,1663443658983503403,315
48,1663443662457636403,1663443662717637403,260
49,1663443664502394403,1663443664775271403,272
50,1663443666033018403,1663443666317627403,284
51,1663443667346023403,1663443667675717403,329
52,1663443669569751403,1663443669853807403,284
53,1663443670690401403,1663443671026429403,336
54,1663443672728519403,1663443673028509403,299
55,1663443674553140403,1663443674881916403,328
56,1663443679380400403,1663443679720412403,340
57,1663443682179016403,1663443682475005403,295
58,1663443683107043403,1663443683391062403,284
59,1663443685417135403,1663443685725170403,308
60,1663443689378585403,1663443689699506403,320
61,1663443690356067403,1663443690621217403,265
62,1663443691821144403,1663443692117147403,296
63,1663443693269388403,1663443693562641403,293
64,1663443698636120403,1663443698996205403,360
65,1663443699912422403,1663443700164866403,252
66,1663443700969535403,1663443701209519403,239
67,1663443702677899403,1663443702961899403,284
68,1663443704151355403,1663443704303268403,151
69,1663443706219268403,1663443706491337403,272
70,1663443728825733403,1663443729117658403,291
71,1663443747884383403,1663443748169282403,284
72,1663443762013407403,1663443762310314403,296
73,1663443766348789403,1663443766706682403,357
74,1663443767135362403,1663443767563977403,428
75,1663443774895383403,1663443775159336403,263
76,1663443777108413403,1663443777380566403,272
77,1663443794100193403,1663443794380214403,280
78,1663443819141460403,1663443819473370403,331
79,1663443825682626403,1663443825970648403,288
80,1663443855651938403,1663443855931926403,279
81,1663443894066085403,1663443894510071403,443
82,1663443895794828403,1663443896103582403,308
83,1663443899462727403,1663443899666737403,204
84,1663443900855504403,1663443901131516403,276
85,1663443908235903403,1663443908568379403,332
86,1663443911838675403,1663443912102676403,264
87,1663443914116075403,1663443914396231403,280
88,1663443919825713403,1663443920238676403,412
89,1663443921451687403,1663443921876926403,425
90,1663443930801840403,1663443931117937403,316
91,1663443955213861403,1663443955437943403,224
92,1663443964789827403,1663443965037931403,248
93,1663443981513849403,1663443981733805403,219
94,1663443989293838403,1663443989529858403,236
95,1663443992549847403,1663443992813843403,263
96,1663443996865866403,1663443997101949403,236
97,1663444009893767403,1663444010145814403,252
98,1663444016949858403,1663444017225873403,276
99,1663444024021843403,1663444024293861403,272
100,1663444033849938403,1663444034109811403,259
101,1663444057289765403,1663444057533837403,244
102,1663444061477841403,1663444061769830403,291
103,1663444082873772403,1663444083121861403,248
104,1663444087117928403,1663444087401841403,283
105,1663444087413843403,1663444087697857403,284
106,1663444092213897403,1663444092465827403,251
107,1663444093293872403,1663444093581854403,287
108,1663444098957879403,1663444099273774403,315
109,1663444106753773403,1663444107089795403,336
110,1663444108025832403,1663444108293781403,267
111,1663444109269831403,1663444109653888403,384
112,1663444113137836403,1663444113473770403,335
113,1663444115217885403,1663444115485869403,267
114,1663444116717844403,1663444117017852403,300
115,1663444123089983403,1663444123481841403,391
116,1663444125217831403,1663444125621936403,404
117,1663444138693885403,1663444139001912403,308
118,1663444161829857403,1663444162162035403,332
119,1663444162289799403,1663444162637847403,348
120,1663444191605918403,1663444191893845403,287
121,1663444192249876403,1663444192629884403,380
122,1663444205069823403,1663444205417864403,348
123,1663444209577871403,1663444209721988403,144
124,1663444210357787403,1663444210489829403,132
125,1663444210493830403,1663444210637851403,144
126,1663444210641839403,1663444210805884403,164
