blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1664921733401774168,1664921733961908168,560
2,1664921744301723168,1664921744445800168,144
3,1664921746345678168,1664921746641884168,296
4,1664921753793823168,1664921753905750168,111
5,1664921755429731168,1664921755705860168,276
6,1664921757773742168,1664921758061661168,287
7,1664921759157871168,1664921759657827168,499
8,1664921759773786168,1664921760105690168,331
9,1664921763657774168,1664921764041733168,383
10,1664921764309723168,1664921764933698168,623
11,1664921768501746168,1664921768969748168,468
12,1664921769933701168,1664921770305737168,372
13,1664921778569817168,1664921778981808168,411
14,1664921782105802168,1664921782437684168,331
15,1664921782781937168,1664921783057807168,275
16,1664921785921817168,1664921786205667168,283
17,1664921786337806168,1664921786561721168,223
18,1664921786901743168,1664921787261828168,360
19,1664921787317831168,1664921787597738168,279
20,1664921787757701168,1664921787937715168,180
21,1664921790105697168,1664921790497721168,392
22,1664921792037839168,1664921792445772168,407
23,1664921794781709168,1664921795157723168,376
24,1664921803553769168,1664921803945819168,392
25,1664921804529799168,1664921804909680168,379
26,1664921810817699168,1664921811289736168,472
27,1664921811593717168,1664921812025751168,432
28,1664921812305827168,1664921812749756168,443
29,1664921812817741168,1664921813133772168,316
30,1664921814633723168,1664921815029776168,396
31,1664921824805716168,1664921825117738168,312
32,1664921825873886168,1664921826225744168,351
33,1664921828325684168,1664921828781855168,456
34,1664921832009844168,1664921832261717168,251
35,1664921841533792168,1664921841937691168,403
36,1664921842117728168,1664921842501688168,383
37,1664921844353753168,1664921844633833168,280
38,1664921848213827168,1664921848361825168,147
39,1664921848369841168,1664921848513781168,143
40,1664921848557839168,1664921848717731168,159
41,1664921848837684168,1664921848977851168,140
42,1664921848981754168,1664921849169724168,187
43,1664921849405719168,1664921849725953168,320
44,1664921855157677168,1664921855613698168,456
45,1664921858677769168,1664921859141833168,464
46,1664921864757721168,1664921864973755168,216
47,1664921865949743168,1664921866357714168,407
48,1664921870037728168,1664921870445759168,408
49,1664921873353684168,1664921873545730168,192
50,1664921875381711168,1664921875529681168,147
51,1664921875533747168,1664921875737723168,203
52,1664921876197771168,1664921876413874168,216
53,1664921877929735168,1664921878285825168,356
54,1664921881241697168,1664921881629718168,388
55,1664921882597862168,1664921882973799168,375
56,1664921885977792168,1664921886345909168,368
57,1664921887321715168,1664921887529748168,208
58,1664921887533740168,1664921887745906168,212
59,1664921887749904168,1664921887997692168,247
60,1664921888005684168,1664921888189671168,183
61,1664921888193727168,1664921888325680168,131
62,1664921888413690168,1664921888869715168,456
63,1664921889785701168,1664921889937688168,151
64,1664921889941743168,1664921890217718168,275
65,1664921890689739168,1664921890813865168,124
66,1664921893697691168,1664921894153855168,456
67,1664921898333847168,1664921898517894168,184
68,1664921900033742168,1664921900585921168,552
69,1664921901285802168,1664921901621744168,335
70,1664921907177788168,1664921907389667168,211
71,1664921908469749168,1664921908721731168,251
72,1664921909933708168,1664921910089755168,156
73,1664921910093737168,1664921910237788168,144
74,1664921910849701168,1664921911025774168,176
75,1664921912469716168,1664921912629751168,160
76,1664921912914673168,1664921913065668168,150
77,1664921913073989168,1664921913337687168,263
78,1664921913421830168,1664921913569713168,147
79,1664921913657698168,1664921913757740168,100
80,1664921919121862168,1664921919373719168,251
81,1664921920781757168,1664921920921788168,140
82,1664921920957813168,1664921921241927168,284
83,1664921924001748168,1664921924217757168,216
84,1664921927977710168,1664921928301741168,324
85,1664921930193854168,1664921930605749168,411
86,1664921930885795168,1664921931209726168,323
87,1664921935821707168,1664921936213702168,391
88,1664921939933823168,1664921940217723168,283
89,1664921948657708168,1664921948993768168,336
90,1664921959013737168,1664921959393838168,380
91,1664921966657807168,1664921967033731168,375
92,1664921969169718168,1664921969457683168,287
93,1664921969461742168,1664921969657692168,195
94,1664921970877807168,1664921971193957168,316
95,1664921979789750168,1664921980205783168,416
96,1664921981805673168,1664921982113728168,308
97,1664921990073714168,1664921990541821168,468
98,1664921990649735168,1664921991049690168,399
99,1664921996829695168,1664921997197840168,368
100,1664922000557697168,1664922001045744168,488
101,1664922001697750168,1664922001993688168,295
102,1664922003201835168,1664922003702231168,500
103,1664922008097750168,1664922008453703168,355
104,1664922017309724168,1664922017653893168,344
105,1664922017657697168,1664922017769843168,112
106,1664922017885762168,1664922018017706168,131
107,1664922018025697168,1664922018389672168,363
108,1664922018741863168,1664922018881744168,139
109,1664922018962029168,1664922019105848168,143
110,1664922019109818168,1664922019265721168,155
111,1664922019269747168,1664922019669664168,399
112,1664922020065868168,1664922020285742168,219
113,1664922021745686168,1664922021985735168,240
114,1664922026881720168,1664922027197704168,315
115,1664922027321765168,1664922027513730168,191
116,1664922029185712168,1664922029513688168,327
117,1664922030345719168,1664922030885753168,540
118,1664922032701767168,1664922032953752168,251
119,1664922034745826168,1664922034909814168,163
120,1664922035913737168,1664922036361779168,448
121,1664922037365770168,1664922037722044168,356
122,1664922040437860168,1664922040813686168,375
123,1664922040857798168,1664922041133761168,275
124,1664922043789705168,1664922044013747168,224
125,1664922044253834168,1664922044445699168,191
126,1664922047742019168,1664922048137909168,395
127,1664922058773726168,1664922059069844168,296
128,1664922059429709168,1664922059893681168,463
129,1664922067909705168,1664922068133695168,223
