blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1666377872376606929,1666377872480686929,104
2,1666377875533435929,1666377875848709929,315
3,1666377877024771929,1666377877476728929,451
4,1666377878156703929,1666377878512708929,356
5,1666377878604669929,1666377878888738929,284
6,1666377881820809929,1666377882196785929,375
7,1666377888336752929,1666377888772741929,435
8,1666377890880635929,1666377891308868929,428
9,1666377902484671929,1666377902836688929,352
10,1666377905188723929,1666377905528713929,339
11,1666377910876688929,1666377911200712929,324
12,1666377913820723929,1666377914100699929,279
13,1666377914980668929,1666377915240810929,260
14,1666377915376714929,1666377915736614929,359
15,1666377929052767929,1666377929404698929,351
16,1666377931172621929,1666377931512623929,340
17,1666377932784686929,1666377932980729929,196
18,1666377936188604929,1666377936480843929,292
19,1666377940240726929,1666377940572958929,332
20,1666377945832672929,1666377946080718929,248
21,1666377948828760929,1666377949240871929,412
22,1666377949844746929,1666377950232649929,387
23,1666377951808699929,1666377952148701929,340
24,1666377953112718929,1666377953312985929,200
25,1666377955320648929,1666377955628729929,308
26,1666377956664877929,1666377956976742929,311
27,1666377957796716929,1666377957996791929,200
28,1666377958108643929,1666377958504674929,396
29,1666377958788676929,1666377959108742929,320
30,1666377959112745929,1666377959320694929,207
31,1666377959324672929,1666377959544679929,220
32,1666377960224745929,1666377960540636929,315
33,1666377960544609929,1666377960952680929,408
34,1666377961652672929,1666377961928889929,276
35,1666377963760750929,1666377963964647929,203
36,1666377972700714929,1666377972872676929,171
37,1666377974392629929,1666377974648655929,256
38,1666377975180720929,1666377975440670929,259
39,1666377976684768929,1666377976940671929,255
40,1666377976948774929,1666377977296657929,347
41,1666377978368664929,1666377978784605929,415
42,1666377979424653929,1666377979804715929,380
43,1666377980184662929,1666377980440839929,256
44,1666377986608718929,1666377987008951929,400
45,1666377992512637929,1666377992936639929,424
46,1666377996516654929,1666377996916661929,400
47,1666377997924614929,1666377998088668929,164
48,1666377998404659929,1666377998744672929,340
49,1666378003532813929,1666378003792652929,259
50,1666378007828580929,1666378008128596929,300
51,1666378008276671929,1666378008644652929,367
52,1666378011240685929,1666378011636686929,396
53,1666378016580649929,1666378017000633929,419
54,1666378021516610929,1666378021916618929,400
55,1666378023952697929,1666378024368630929,415
56,1666378029040615929,1666378029456705929,416
57,1666378030060633929,1666378030468628929,407
58,1666378030476711929,1666378030808639929,331
59,1666378030812792929,1666378031164623929,351
60,1666378034016658929,1666378034388672929,372
61,1666378034592668929,1666378034924663929,331
62,1666378037252652929,1666378037464644929,211
63,1666378037472689929,1666378037736862929,264
64,1666378038480706929,1666378038796638929,315
65,1666378040868693929,1666378041232636929,363
66,1666378041776744929,1666378042180676929,403
67,1666378042380668929,1666378042716621929,335
68,1666378044064661929,1666378044396674929,332
69,1666378045396768929,1666378045540646929,143
70,1666378045548633929,1666378045820625929,271
71,1666378045828613929,1666378046052636929,224
72,1666378046056624929,1666378046376599929,319
73,1666378048036614929,1666378048216595929,179
74,1666378048300672929,1666378048732654929,431
75,1666378049472663929,1666378049748648929,275
76,1666378050392731929,1666378050716668929,323
77,1666378053032621929,1666378053220662929,188
78,1666378053848806929,1666378054184642929,335
79,1666378065488683929,1666378065784621929,295
80,1666378082996641929,1666378083264623929,267
81,1666378085772645929,1666378086096678929,324
82,1666378100968641929,1666378101280638929,311
83,1666378101820677929,1666378102244618929,423
84,1666378108176605929,1666378108324763929,148
85,1666378113048623929,1666378113328649929,280
86,1666378114164647929,1666378114560669929,396
87,1666378116148686929,1666378116448664929,299
88,1666378116888624929,1666378117284610929,395
89,1666378121116630929,1666378121492815929,376
90,1666378126016650929,1666378126400619929,383
91,1666378129868641929,1666378130192675929,324
92,1666378133516700929,1666378133760644929,243
93,1666378134472654929,1666378134808652929,335
94,1666378135964695929,1666378136356597929,391
95,1666378137940669929,1666378138256638929,315
96,1666378138456620929,1666378138712653929,256
97,1666378138716669929,1666378139048622929,331
98,1666378139268547929,1666378139644608929,376
99,1666378140120628929,1666378140504629929,384
100,1666378141752663929,1666378142156651929,403
101,1666378144660624929,1666378145020627929,360
102,1666378145220638929,1666378145492634929,271
103,1666378145496664929,1666378145788648929,291
104,1666378145792657929,1666378146228681929,436
105,1666378147084769929,1666378147344687929,259
106,1666378147348647929,1666378147748709929,400
107,1666378147940706929,1666378148260647929,319
108,1666378148732637929,1666378148968695929,236
109,1666378148972698929,1666378149312789929,340
110,1666378150028644929,1666378150412732929,384
111,1666378151160629929,1666378151476722929,316
112,1666378152700660929,1666378153016684929,316
113,1666378154272600929,1666378154572584929,299
114,1666378155288578929,1666378155680642929,392
115,1666378157616653929,1666378157992617929,375
116,1666378158088651929,1666378158428622929,339
117,1666378158900658929,1666378159104655929,203
118,1666378159108635929,1666378159328638929,220
119,1666378159336644929,1666378159564647929,228
120,1666378159572630929,1666378159900678929,328
121,1666378160600636929,1666378160952704929,352
122,1666378160980668929,1666378161388746929,408
123,1666378161556668929,1666378161892614929,335
124,1666378161948575929,1666378162288685929,340
125,1666378162824643929,1666378163080657929,256
126,1666378163084757929,1666378163420638929,335
127,1666378163844660929,1666378164136608929,291
128,1666378164372638929,1666378164628635929,255
129,1666378164632622929,1666378164964707929,332
130,1666378165052627929,1666378165264659929,212
131,1666378165268614929,1666378165464621929,196
132,1666378165468618929,1666378165720678929,252
133,1666378165724652929,1666378166104609929,379
134,1666378166352635929,1666378166580529929,227
135,1666378166584648929,1666378166860674929,276
136,1666378167128635929,1666378167424677929,296
137,1666378169652611929,1666378169960686929,308
138,1666378170748658929,1666378171180634929,431
139,1666378172608631929,1666378172936636929,328
140,1666378174624602929,1666378175096591929,471
141,1666378175660657929,1666378176000643929,339
142,1666378176296638929,1666378176608646929,312
143,1666378177016625929,1666378177208718929,192
144,1666378177420651929,1666378177708633929,287
145,1666378178200637929,1666378178464671929,264
146,1666378178804660929,1666378179112650929,307
147,1666378181768803929,1666378182044604929,275
148,1666378182048640929,1666378182348677929,300
149,1666378183312638929,1666378183472586929,159
150,1666378184268632929,1666378184616646929,348
151,1666378185080680929,1666378185408642929,327
152,1666378187772655929,1666378188112705929,340
153,1666378191048647929,1666378191436649929,388
154,1666378192552786929,1666378192932722929,379
155,1666378193880708929,1666378194184638929,303
156,1666378194324655929,1666378194720698929,396
157,1666378195808667929,1666378196152638929,343
158,1666378197880675929,1666378198244698929,364
159,1666378199432663929,1666378199936626929,503
160,1666378200584680929,1666378200940721929,356
161,1666378201684640929,1666378201996627929,311
162,1666378202716599929,1666378203048592929,331
163,1666378204348633929,1666378204728629929,379
164,1666378205820671929,1666378206200585929,379
165,1666378208228653929,1666378208536674929,308
166,1666378209196672929,1666378209580679929,384
167,1666378211988643929,1666378212380752929,392
168,1666378213028817929,1666378213372746929,343
169,1666378215228659929,1666378215632784929,404
170,1666378217112642929,1666378217496670929,384
171,1666378218648633929,1666378219028607929,379
172,1666378219664658929,1666378220016669929,352
173,1666378221716629929,1666378222080604929,363
174,1666378223876668929,1666378224100680929,224
175,1666378224128653929,1666378224640680929,512
176,1666378225968634929,1666378226296614929,327
177,1666378227520661929,1666378228000630929,479
178,1666378228240629929,1666378228524625929,283
179,1666378230364652929,1666378230740640929,375
180,1666378231208626929,1666378231604664929,396
181,1666378232912677929,1666378233308564929,395
182,1666378235364924929,1666378235740650929,375
183,1666378235920667929,1666378236356629929,435
184,1666378237568631929,1666378237952641929,384
185,1666378238312639929,1666378238588619929,275
186,1666378239400623929,1666378239784669929,384
187,1666378240036643929,1666378240420686929,384
188,1666378240740668929,1666378241132710929,392
189,1666378243760623929,1666378244124703929,364
190,1666378245968640929,1666378246300675929,332
191,1666378247576642929,1666378247924680929,348
192,1666378249116655929,1666378249528627929,411
193,1666378250760646929,1666378251080698929,320
194,1666378251256593929,1666378251576605929,320
195,1666378254292683929,1666378254708588929,415
196,1666378255160693929,1666378255512653929,351
197,1666378255912693929,1666378256096611929,183
198,1666378258344614929,1666378258624652929,280
199,1666378258848685929,1666378259192684929,343
200,1666378260520917929,1666378260884654929,363
201,1666378264708640929,1666378265124603929,415
202,1666378268204621929,1666378268556686929,352
203,1666378268788644929,1666378269088713929,300
204,1666378270940595929,1666378271376596929,436
