blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1674251219769360193,1674251220001454193,232
2,1674251221977315193,1674251222233325193,256
3,1674251230109397193,1674251230349338193,239
4,1674251230441278193,1674251230729412193,288
5,1674251231081438193,1674251231297355193,215
6,1674251231301405193,1674251231517408193,216
7,1674251236649291193,1674251236838045193,188
8,1674251236845364193,1674251237185346193,339
9,1674251237189331193,1674251237633451193,444
10,1674251237641350193,1674251237845278193,203
11,1674251244689327193,1674251244913443193,224
12,1674251244925362193,1674251245113337193,187
13,1674251245117348193,1674251245381419193,264
14,1674251245421301193,1674251245641377193,220
15,1674251246489271193,1674251246793409193,304
16,1674251247145299193,1674251247385345193,240
17,1674251247873409193,1674251248193631193,320
18,1674251249085307193,1674251249409353193,324
19,1674251250893380193,1674251251125316193,231
20,1674251251133541193,1674251251473333193,339
21,1674251253125327193,1674251253581293193,455
22,1674251253601338193,1674251253957330193,355
23,1674251254613354193,1674251254953304193,339
24,1674251255097577193,1674251255369381193,271
25,1674251258713428193,1674251259033356193,319
26,1674251259557322193,1674251259913325193,356
27,1674251261657367193,1674251262033457193,376
28,1674251266757349193,1674251266989275193,231
29,1674251267405417193,1674251267717336193,311
30,1674251271929344193,1674251272329352193,400
31,1674251272937343193,1674251273453349193,516
32,1674251284937311193,1674251285193424193,256
33,1674251287833571193,1674251288201311193,367
34,1674251290577327193,1674251290913331193,336
35,1674251294613325193,1674251294853376193,240
36,1674251295245310193,1674251295541304193,295
37,1674251296573653193,1674251296757423193,183
38,1674251299273480193,1674251299469506193,196
39,1674251299473336193,1674251299809407193,336
40,1674251319617414193,1674251319957303193,339
41,1674251322121365193,1674251322441617193,320
42,1674251324917342193,1674251325205383193,288
43,1674251339853332193,1674251340037346193,184
44,1674251343985408193,1674251344273497193,288
45,1674251345645335193,1674251346101376193,456
46,1674251346305334193,1674251346545372193,240
47,1674251346989390193,1674251347321439193,332
48,1674251354889418193,1674251355093333193,203
49,1674251355313414193,1674251355669423193,356
50,1674251362697309193,1674251362929433193,232
51,1674251365149310193,1674251365461345193,312
52,1674251365477332193,1674251365781440193,304
53,1674251366461363193,1674251366801431193,340
54,1674251366817288193,1674251367197336193,380
55,1674251367245409193,1674251367549309193,303
56,1674251369625293193,1674251369889410193,264
57,1674251370845420193,1674251371177275193,331
58,1674251372617346193,1674251372965451193,348
59,1674251376301316193,1674251376545313193,243
60,1674251377065343193,1674251377305353193,240
61,1674251379325336193,1674251379529439193,204
62,1674251379909345193,1674251380169313193,259
63,1674251380429411193,1674251380753394193,323
64,1674251381749388193,1674251382061333193,311
65,1674251382069313193,1674251382229354193,160
66,1674251383429349193,1674251383785303193,355
67,1674251387109314193,1674251387385535193,276
68,1674251395441337193,1674251395797409193,356
69,1674251396445333193,1674251396729368193,284
70,1674251398145411193,1674251398545324193,399
71,1674251402881346193,1674251403177305193,295
72,1674251403509362193,1674251403801404193,292
73,1674251404245457193,1674251404573413193,327
74,1674251404933413193,1674251405249377193,315
75,1674251405353329193,1674251405765515193,412
76,1674251410029298193,1674251410385338193,356
77,1674251416461339193,1674251416749323193,287
78,1674251416865782193,1674251417217368193,351
79,1674251419305322193,1674251419601381193,296
80,1674251423577362193,1674251423893403193,316
81,1674251425129318193,1674251425425334193,296
82,1674251425901487193,1674251426317388193,415
83,1674251427589434193,1674251428073550193,484
84,1674251428297336193,1674251428637343193,340
85,1674251428781320193,1674251429101350193,320
86,1674251429361338193,1674251429749701193,388
87,1674251429997350193,1674251430285352193,288
88,1674251430785458193,1674251431209300193,423
89,1674251433477366193,1674251433689361193,211
90,1674251433717361193,1674251433869461193,152
91,1674251434109415193,1674251434273427193,164
