blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1656690287078516253,1656690287362410253,283
2,1656690312638605253,1656690313026366253,387
3,1656690316306375253,1656690316590445253,284
4,1656690337142373253,1656690337490362253,347
5,1656690344662380253,1656690344862355253,199
6,1656690363958424253,1656690364342425253,384
7,1656690365338414253,1656690365714365253,375
8,1656690383030448253,1656690383342367253,311
9,1656690392230461253,1656690392482392253,251
10,1656690450786385253,1656690451226368253,439
11,1656690455582346253,1656690455890381253,308
12,1656690455898352253,1656690456226397253,328
13,1656690456238377253,1656690456390354253,151
14,1656690456762421253,1656690457102361253,339
15,1656690462686372253,1656690463054436253,368
16,1656690464258399253,1656690464626411253,368
17,1656690465894373253,1656690466318452253,424
18,1656690470190372253,1656690470366403253,176
19,1656690476074375253,1656690476334425253,260
20,1656690496690387253,1656690497118377253,427
21,1656690497226381253,1656690497594367253,367
22,1656690514326363253,1656690514634404253,308
23,1656690517530551253,1656690517866419253,335
24,1656690520422530253,1656690520774406253,351
25,1656690548726386253,1656690549094455253,368
26,1656690552230344253,1656690552622374253,392
27,1656690557890407253,1656690558254367253,363
28,1656690562646372253,1656690563042417253,396
29,1656690568114408253,1656690568482419253,368
30,1656690568654387253,1656690569030341253,375
31,1656690569514436253,1656690569874346253,359
32,1656690571226393253,1656690571546415253,320
33,1656690572006377253,1656690572366379253,360
34,1656690573226397253,1656690573570374253,343
35,1656690574414423253,1656690574782383253,367
36,1656690575558399253,1656690575902412253,344
37,1656690578638568253,1656690578950427253,311
38,1656690579886373253,1656690580238370253,351
39,1656690581234383253,1656690581406339253,171
40,1656690596994408253,1656690597326432253,332
41,1656690605222424253,1656690605770455253,548
42,1656690607578389253,1656690607898375253,319
43,1656690612770361253,1656690613178352253,407
44,1656690614326355253,1656690614642380253,316
45,1656690617386526253,1656690617742383253,355
46,1656690619198404253,1656690619638907253,440
47,1656690621382438253,1656690621622647253,240
48,1656690624798379253,1656690625198546253,400
49,1656690625298370253,1656690625678381253,380
50,1656690626986507253,1656690627310391253,323
51,1656690629378383253,1656690629718470253,340
52,1656690633774346253,1656690634170419253,396
53,1656690640422401253,1656690640646360253,223
54,1656690642078412253,1656690642426397253,347
55,1656690647322402253,1656690647630411253,308
56,1656690647638406253,1656690647966365253,327
57,1656690658178536253,1656690658542449253,363
58,1656690661978409253,1656690662342423253,364
59,1656690662902506253,1656690663306434253,403
60,1656690664910384253,1656690665270368253,359
61,1656690669618393253,1656690669986381253,367
62,1656690669990464253,1656690670302364253,311
63,1656690676374358253,1656690676694374253,320
64,1656690678366388253,1656690678866614253,500
65,1656690684210427253,1656690684618402253,407
66,1656690691434402253,1656690691714370253,279
67,1656690692730345253,1656690693106354253,376
68,1656690697762399253,1656690697938439253,176
69,1656690700206369253,1656690700514385253,308
70,1656690700530401253,1656690700814457253,284
71,1656690705090393253,1656690705442375253,351
72,1656690706066371253,1656690706406378253,340
73,1656690706426375253,1656690706734382253,308
74,1656690707710394253,1656690708026379253,315
75,1656690708750399253,1656690709022395253,271
76,1656690709026388253,1656690709410396253,384
77,1656690710238433253,1656690710570358253,331
78,1656690711946308253,1656690712310559253,364
79,1656690712350371253,1656690712746341253,395
80,1656690713946384253,1656690714310374253,363
81,1656690714554371253,1656690714890355253,335
82,1656690715774374253,1656690716114450253,340
83,1656690716122403253,1656690716390378253,267
84,1656690716394348253,1656690716750367253,356
85,1656690717458631253,1656690717778437253,319
86,1656690717934375253,1656690718298346253,363
87,1656690720262387253,1656690720598356253,335
88,1656690721058792253,1656690721438377253,379
89,1656690722322352253,1656690722666460253,344
90,1656690723614468253,1656690723934341253,319
91,1656690723946360253,1656690724290423253,344
92,1656690726170409253,1656690726534391253,363
93,1656690727206424253,1656690727530520253,324
94,1656690728138333253,1656690728498373253,360
95,1656690729418391253,1656690729762484253,344
96,1656690729894364253,1656690730238364253,344
97,1656690731314351253,1656690731654364253,340
98,1656690732698336253,1656690733018390253,320
99,1656690733910373253,1656690734234394253,324
100,1656690735818362253,1656690736142404253,324
101,1656690736226425253,1656690736538402253,311
102,1656690737898604253,1656690738270384253,371
103,1656690739642422253,1656690739950403253,307
104,1656690739958428253,1656690740338663253,380
105,1656690741250414253,1656690741470361253,219
106,1656690741474369253,1656690741786374253,312
107,1656690744154372253,1656690744542411253,388
108,1656690744950375253,1656690745222450253,272
109,1656690745230513253,1656690745378418253,147
110,1656690747446392253,1656690747690368253,243
111,1656690747698394253,1656690748074406253,376
112,1656690748198415253,1656690748566390253,367
113,1656690749274389253,1656690749618404253,344
114,1656690749626402253,1656690750106348253,479
115,1656690750430383253,1656690750746385253,316
116,1656690750998441253,1656690751286353253,287
117,1656690751290370253,1656690751610451253,320
118,1656690752174391253,1656690752562349253,387
119,1656690753726397253,1656690754086348253,359
120,1656690754382354253,1656690754734407253,352
121,1656690754742459253,1656690755086365253,343
122,1656690756166355253,1656690756522387253,356
123,1656690758946421253,1656690759290385253,343
124,1656690759806387253,1656690760202332253,395
125,1656690760782365253,1656690761086383253,304
126,1656690762454371253,1656690762770345253,315
127,1656690763674400253,1656690764014361253,339
128,1656690764218359253,1656690764514385253,296
129,1656690764622407253,1656690764934388253,311
130,1656690766082395253,1656690766402374253,319
131,1656690767830377253,1656690768202393253,372
132,1656690769006384253,1656690769330377253,323
133,1656690769590481253,1656690769730377253,139
134,1656690770762421253,1656690771082472253,320
135,1656690772590404253,1656690772870356253,279
136,1656690772874407253,1656690773274343253,399
137,1656690773954393253,1656690774302510253,348
138,1656690776070357253,1656690776446382253,376
139,1656690777462349253,1656690777630400253,168
140,1656690787058473253,1656690787430468253,371
141,1656690787434403253,1656690787866373253,431
142,1656690788886415253,1656690789130397253,243
143,1656690789134399253,1656690789466350253,331
144,1656690790334373253,1656690790702385253,368
145,1656690791362413253,1656690791750397253,387
146,1656690792574591253,1656690792906363253,331
147,1656690793482355253,1656690793826375253,344
148,1656690794534432253,1656690794914390253,379
149,1656690795394369253,1656690795790381253,396
150,1656690796690393253,1656690796870993253,180
151,1656690797022418253,1656690797402345253,379
152,1656690798594392253,1656690798914387253,319
153,1656690799054390253,1656690799430352253,375
154,1656690801070363253,1656690801406366253,336
155,1656690802146374253,1656690802498370253,351
156,1656690804690354253,1656690805050359253,360
157,1656690805518362253,1656690805874342253,355
158,1656690807970360253,1656690808310360253,340
159,1656690808342394253,1656690808678359253,335
160,1656690811358393253,1656690811706400253,348
161,1656690811982403253,1656690812302384253,319
162,1656690813574379253,1656690813922343253,347
163,1656690814102493253,1656690814450816253,348
164,1656690814998363253,1656690815330388253,332
165,1656690816034638253,1656690816378439253,343
166,1656690816994372253,1656690817278442253,284
167,1656690818078379253,1656690818478412253,400
168,1656690819674366253,1656690819990367253,316
169,1656690820246408253,1656690820626381253,379
170,1656690821690359253,1656690821902455253,212
171,1656690823310383253,1656690823690887253,380
172,1656690825750364253,1656690826166532253,416
173,1656690831290368253,1656690831602387253,312
174,1656690837610357253,1656690837894351253,283
175,1656690841774371253,1656690841926378253,152
176,1656690850970377253,1656690851122355253,151
177,1656690851126344253,1656690851426385253,300
178,1656690861310385253,1656690861630397253,320
179,1656690862242382253,1656690862606377253,363
180,1656690869586427253,1656690869950399253,363
181,1656690873382379253,1656690873746373253,363
182,1656690874246439253,1656690874582417253,335
183,1656690874898356253,1656690875350352253,451
184,1656690894122361253,1656690894582382253,460
185,1656690895478356253,1656690895926386253,448
186,1656690900886373253,1656690901294422253,408
187,1656690903542421253,1656690903862358253,319
188,1656690911494389253,1656690911846349253,351
189,1656690912110380253,1656690912426309253,315
190,1656690915786359253,1656690916122308253,335
191,1656690917318404253,1656690917550357253,231
192,1656690917554339253,1656690917890385253,336
193,1656690918454360253,1656690918790400253,336
194,1656690919282556253,1656690919598891253,316
195,1656690919930460253,1656690920230373253,299
196,1656690921690338253,1656690922006337253,315
197,1656690928562413253,1656690929018372253,455
198,1656690929970362253,1656690930322428253,352
199,1656690937594412253,1656690938006362253,411
200,1656690939506387253,1656690939842467253,336
201,1656690942782392253,1656690943142359253,359
202,1656690947574388253,1656690947930363253,355
203,1656690948638401253,1656690949018349253,379
204,1656690950770320253,1656690951226396253,456
205,1656690956070410253,1656690956498654253,428
206,1656690961594363253,1656690961950382253,356
207,1656690964830375253,1656690965202361253,371
208,1656690968318479253,1656690968730369253,411
209,1656690972326508253,1656690972614403253,287
210,1656690972622349253,1656690972966394253,344
211,1656690975262371253,1656690975670380253,408
212,1656690976214412253,1656690976554404253,339
213,1656690981006414253,1656690981278356253,271
214,1656690981282425253,1656690981550383253,267
215,1656690981559072253,1656690981902394253,343
216,1656690984066611253,1656690984410445253,343
217,1656690984966590253,1656690985338397253,371
218,1656690989338407253,1656690989682449253,344
219,1656690992482354253,1656690992838364253,356
220,1656690997734348253,1656690997890344253,155
221,1656690998150363253,1656690998474387253,324
222,1656690998486375253,1656690998850383253,364
223,1656691003918466253,1656691004286375253,367
224,1656691005594562253,1656691005982358253,387
225,1656691006178363253,1656691006538401253,360
226,1656691016478356253,1656691016794369253,316
227,1656691016798380253,1656691017174681253,376
228,1656691017630349253,1656691017978502253,348
229,1656691018894402253,1656691019226399253,331
230,1656691019622604253,1656691020046343253,423
231,1656691021414456253,1656691021806391253,391
232,1656691025274365253,1656691025658534253,384
233,1656691033746380253,1656691034074312253,327
234,1656691046246391253,1656691046558347253,311
235,1656691050002374253,1656691050186372253,183
236,1656691055498362253,1656691055662456253,164
237,1656691059698384253,1656691060106395253,408
238,1656691065162431253,1656691065538452253,376
239,1656691065898345253,1656691066338381253,440
240,1656691067646378253,1656691068018804253,372
241,1656691068886394253,1656691069222358253,335
242,1656691069226363253,1656691069586357253,359
243,1656691076234372253,1656691076666423253,432
244,1656691086482433253,1656691086886378253,403
245,1656691094666454253,1656691095034356253,367
246,1656691105674365253,1656691106066698253,392
247,1656691112094371253,1656691112318376253,224
248,1656691121558392253,1656691121954393253,396
249,1656691135602359253,1656691135938397253,336
250,1656691156566315253,1656691156942352253,376
251,1656691159074343253,1656691159406502253,332
252,1656691163890407253,1656691164310433253,420
253,1656691181718441253,1656691182058383253,339
254,1656691190158400253,1656691190314532253,156
255,1656691196098350253,1656691196326382253,228
256,1656691196334367253,1656691196626550253,292
257,1656691196866377253,1656691197122362253,255
258,1656691202058568253,1656691202434453253,375
259,1656691204590570253,1656691204774372253,183
260,1656691215638575253,1656691215966331253,327
261,1656691216042392253,1656691216234351253,191
262,1656691221238365253,1656691221486392253,248
263,1656691231294363253,1656691231454368253,160
264,1656691234538401253,1656691234866460253,328
265,1656691238854366253,1656691239142369253,288
266,1656691239906355253,1656691240050537253,144
267,1656691242374378253,1656691242486397253,112
268,1656691242594401253,1656691243110706253,516
269,1656691244674362253,1656691244826365253,152
270,1656691245946403253,1656691246098381253,151
271,1656691253382390253,1656691253634359253,251
272,1656691269286395253,1656691269546508253,260
273,1656691280198388253,1656691280426397253,228
274,1656691281710396253,1656691281942419253,232
275,1656691283802352253,1656691283982366253,180
276,1656691310346448253,1656691310690427253,343
277,1656691354262472253,1656691354442365253,179
278,1656691356526370253,1656691356686369253,159
279,1656691377786393253,1656691378046439253,260
280,1656691378050408253,1656691378426399253,375
281,1656691378710363253,1656691379154376253,444
282,1656691379162416253,1656691379270399253,107
283,1656691382942789253,1656691383082443253,139
