section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,1,1682012582524839266,1682012583752852266,1228,749.636,673.686,16.807980180928613,-7.280736453903983
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,2,1682012583884802266,1682012584220856266,336,198.384,649.246,-24.91907241832619,-5.384148893868226
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,3,1682012584276822266,1682012584448841266,172,280.664,810.671,-19.235833703266007,-17.416876161737985
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,4,1682012584496831266,1682012585536879266,1040,319.18,909.063,-16.820478725573164,-24.839666519464714
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,5,1682012585584826266,1682012585708847266,124,520.97,857.728,-0.523475784788808,-21.265406269349004
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,6,1682012585780933266,1682012587372859266,1592,325.744,929.405,-16.442990423050095,-26.38035852137089
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,7,1682012587392881266,1682012589168947266,1776,324.151,923.954,-16.530283808235573,-25.96764870547133
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,8,1682012589188845266,1682012589444862266,256,309.348,949.483,-17.957924440079662,-27.829887218063163
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,9,1682012589472818266,1682012589944725266,472,259.203,871.961,-21.344580410535976,-21.893668208530343
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,10,1682012589964737266,1682012590124705266,160,239.059,876.648,-22.993608424976582,-22.170841101861384
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,11,1682012590152825266,1682012590368875266,216,219.164,918.502,-25.02405270043222,-25.176589288988556
d3d0e5a8-c14e-43ed-97eb-71bc042e4938,b201e6c2-7b2f-4247-9d05-ab5338303acc,12,1682012590404804266,1682012590564704266,160,286.156,904.193,-19.44893566850122,-24.373475604455855
