section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,1,1711828139454269789,1711828139577925789,124,573.354,508.148,3.4663153976064045,5.085078271774242
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,2,1711828139950147789,1711828140030686789,81,458.609,542.965,-5.193373554264182,2.4605220941040535
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,3,1711828140090121789,1711828140909872789,820,580.998,570.447,4.0337298389170115,0.3905083915209377
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,4,1711828141149974789,1711828141258080789,108,965.938,480.177,33.185252374721195,6.807717101588152
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,5,1711828141285973789,1711828141593984789,308,963.995,459.862,33.11806077188102,8.259762196246543
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,6,1711828141627092789,1711828141793985789,167,966.906,418.35,33.55867079855619,11.212151083887978
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,7,1711828142201955789,1711828142434077789,232,578.695,933.823,4.1549625931758,-26.989214469316398
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,8,1711828142581953789,1711828143145951789,564,550.317,934.176,1.8436097394900783,-27.035699162430063
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,9,1711828143245963789,1711828143357952789,112,523.182,963.29,-0.3774570997919869,-29.250344977690663
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,10,1711828143457952789,1711828143537964789,80,470.434,868.737,-4.53560067661136,-22.078691156426398
9fcab27a-0aac-4960-9440-5aab83b8c08a,3564ab66-2651-4a15-ad68-09fdba034933,11,1711828143585863789,1711828143725954789,140,564.681,824.85,2.8999719883471617,-18.775843322166757
