section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,1,1650487107327967068,1650487107399894068,71,553.295,644.556,1.4883606811298433,-7.147782799610221
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,2,1650487107427905068,1650487107843946068,416,543.473,631.557,0.7430655944421455,-6.1686655063248015
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,3,1650487107864000068,1650487107967944068,103,566.501,629.178,2.4858748207155013,-5.986981995172016
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,4,1650487107988059068,1650487108367926068,379,541.829,636.144,0.6188145860171157,-6.514564392342611
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,5,1650487108391882068,1650487109147944068,756,538.57,635.631,0.3719085390249905,-6.476037136147811
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,6,1650487109239911068,1650487110516034068,1276,519.623,656.054,-1.0661122143728128,-8.015759384691558
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,7,1650487110539897068,1650487111896033068,1356,510.722,663.014,-1.7435767992707312,-8.539746569049353
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,8,1650487112007926068,1650487112491906068,483,510.591,662.913,-1.7534852259250604,-8.532086831878678
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,9,1650487112511942068,1650487113175904068,663,517.526,665.678,-1.226995013493542,-8.741026675797047
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,10,1650487113195941068,1650487113339973068,144,505.212,674.461,-2.165948948570944,-9.401690777441495
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,11,1650487113359896068,1650487113519959068,160,506.458,670.397,-2.0698665607620215,-9.095672879820931
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,12,1650487113539922068,1650487115351928068,1812,512.913,665.675,-1.5777157595780475,-8.740479869536108
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,13,1650487115371866068,1650487116063888068,692,508.08,667.861,-1.945715791355486,-8.904734117148184
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,14,1650487116083941068,1650487116679857068,595,513.083,671.076,-1.566080288572566,-9.147553435287339
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,15,1650487116703879068,1650487116787879068,84,530.211,678.306,-0.26360761486636747,-9.693084511744711
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,16,1650487116807834068,1650487117751950068,944,501.729,665.0,-2.427670315486534,-8.688271036470786
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,17,1650487117763973068,1650487117911912068,147,512.014,663.706,-1.6455822307356274,-8.59201605735972
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,18,1650487117939919068,1650487118999910068,1059,507.167,667.093,-2.0148941042689916,-8.84676485358939
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,19,1650487119019962068,1650487119223857068,203,516.382,670.849,-1.3150514586497686,-9.130719550944598
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,20,1650487119303930068,1650487119607956068,304,502.488,673.367,-2.3728820642550814,-9.318892986162938
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,21,1650487119631858068,1650487120119918068,488,506.165,666.682,-2.0909697410846975,-8.815638974573735
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,22,1650487120243856068,1650487121347924068,1104,509.561,669.373,-1.8335342220730886,-9.01883014236088
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,23,1650487121379922068,1650487122291954068,912,509.263,669.638,-1.8562463499446658,-9.03875418629031
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,24,1650487122347910068,1650487122747901068,399,518.851,666.567,-1.1264695156337394,-8.808107384426604
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,25,1650487122771966068,1650487123107918068,335,494.099,663.862,-3.0072350594768045,-8.601309914955023
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,26,1650487123143955068,1650487123959925068,815,507.135,667.688,-2.0175692585511396,-8.891586690743482
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,27,1650487123983840068,1650487125019936068,1036,509.62,670.11,-1.8292391262544403,-9.074402256542431
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,28,1650487125043826068,1650487125591947068,548,508.616,674.329,-1.9068036949633482,-9.392221894635204
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,29,1650487125619958068,1650487125851956068,231,511.863,662.44,-1.6567322023344364,-8.49652629732321
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,30,1650487125871954068,1650487125979866068,107,532.081,666.601,-0.12075940831161164,-8.810912144793344
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,31,1650487125999927068,1650487126975928068,976,504.477,671.197,-2.220771692669325,-9.155631069595985
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,32,1650487127003939068,1650487127116155068,112,505.307,673.434,-2.1583640114064613,-9.324318018275868
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,33,1650487127144125068,1650487128243983068,1099,506.306,670.13,-2.081327933338062,-9.075498596969508
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,34,1650487128267931068,1650487129403922068,1135,512.338,666.539,-1.6216393870847445,-8.80549265801301
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,35,1650487129431947068,1650487130116320068,684,504.934,664.052,-2.183779098203402,-8.617269636256035
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,36,1650487130136119068,1650487131015894068,879,508.613,667.717,-1.9051849928048625,-8.8939593442904
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,37,1650487131035913068,1650487132503931068,1468,505.26,669.713,-2.160788091354466,-9.04396189700359
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,38,1650487132523921068,1650487133483897068,959,510.139,668.056,-1.7892343268113848,-8.919619276618223
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,39,1650487133511947068,1650487134031906068,519,511.398,669.642,-1.6938821222298772,-9.03931031018781
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,40,1650487134056576068,1650487134139910068,83,541.972,677.731,0.6317647417655299,-9.649229571641948
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,41,1650487134171964068,1650487135419967068,1248,507.922,669.747,-1.9582627934492138,-9.04680610931901
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,42,1650487135439856068,1650487136791910068,1352,513.425,666.764,-1.5390148931843577,-8.822611092993622
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,43,1650487136811891068,1650487136871894068,60,523.484,674.492,-0.7753022850692367,-9.405636189298773
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,44,1650487136911869068,1650487137851902068,940,542.63,619.38,0.6787679805301807,-5.250487683688837
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,45,1650487137879918068,1650487138807919068,928,541.779,632.762,0.6149114388875309,-6.259619415067945
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,46,1650487138827941068,1650487139039996068,212,491.539,666.051,-3.202794104599636,-8.765688701637474
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,47,1650487139067922068,1650487140283860068,1215,510.935,669.764,-1.7290808369444104,-9.048457228055454
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,48,1650487140367945068,1650487140459913068,91,517.766,673.909,-1.2103595442689297,-9.361369345137543
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,49,1650487140479855068,1650487140551883068,72,490.817,665.709,-3.257557515430549,-8.739770745734043
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,50,1650487140639909068,1650487140756099068,116,508.029,665.267,-1.948835015668346,-8.709231752953833
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,51,1650487140812001068,1650487141551874068,739,508.231,672.28,-1.9354993482296146,-9.237779910127967
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,52,1650487141571912068,1650487142860322068,1288,508.183,670.109,-1.9385480042248866,-9.07415113290259
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,53,1650487142883878068,1650487143071906068,188,502.574,666.079,-2.363846473065675,-8.769711765236472
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,54,1650487143099912068,1650487143331872068,231,509.905,666.737,-1.8066237357840442,-8.820194880701102
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,55,1650487143347924068,1650487144179909068,831,514.405,670.039,-1.4652454933891552,-9.069505792279426
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,56,1650487144199909068,1650487144919875068,719,509.864,670.712,-1.810836450346734,-9.119768342993094
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,57,1650487144956276068,1650487145023915068,67,484.821,670.982,-3.716210379233449,-9.13564874109098
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,58,1650487145043856068,1650487145231846068,187,511.044,676.023,-1.722525685000748,-9.520144424251926
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,59,1650487145259950068,1650487146327936068,1067,503.579,666.863,-2.287645873368406,-8.828944431050687
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,60,1650487146355910068,1650487146463880068,107,496.471,668.952,-2.82894832220154,-8.98526027353447
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,61,1650487146483904068,1650487147291930068,808,507.074,668.57,-2.0224297668399145,-8.958070824010822
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,62,1650487147311892068,1650487147539950068,228,504.124,677.934,-2.2500328381370718,-9.663258624506483
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,63,1650487147559944068,1650487147835909068,275,507.155,676.611,-2.018730008885559,-9.563989153722556
e9ed83a9-f660-40bb-8c05-9f396e345299,e13da2f1-009e-494c-940b-bf6dbdf489eb,64,1650487147859871068,1650487148159880068,300,508.049,662.89,-1.9467094287923652,-8.53011537071614
