section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,1,1655578466761346004,1655578466821363004,60,200.271,658.105,-25.869936757217445,-9.66441292179
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,2,1655578467553344004,1655578467665372004,112,261.637,582.681,-21.037311590366347,-4.225175693692076
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,3,1655578468949388004,1655578469081388004,132,211.573,622.392,-24.897964467736205,-7.081411182344125
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,4,1655578469949367004,1655578470013423004,64,283.319,652.377,-19.535499798279144,-9.392977221088222
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,5,1655578470225376004,1655578470309405004,84,573.511,565.518,2.5103066383126285,-3.0448702173189646
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,6,1655578471105376004,1655578471225434004,120,191.626,675.847,-26.602153037262426,-10.935215584513221
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,7,1655578471485364004,1655578471681386004,196,273.629,681.602,-20.364584389487167,-11.53208953596687
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,8,1655578474081366004,1655578474189402004,108,369.706,584.928,-12.885217299464827,-4.464656947790235
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,9,1655578474765439004,1655578474845415004,79,526.504,531.105,-1.0393847618140075,-0.44748211164541074
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,10,1655578474869362004,1655578474929387004,60,529.256,552.11,-0.8318939298762447,-2.033585227242048
fbd82c1f-93ee-487c-a9d9-50e650a6eabc,1715a44d-8f45-4b98-a055-50d5e0f73add,11,1655578475321376004,1655578475409449004,88,563.923,540.56,1.7848608774224286,-1.161302114416587
