section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1,1660681995435912858,1660681995516010858,80,536.963,619.742,-0.25059863161164264,-7.136672588890408
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,2,1660681996263880858,1660681997007997858,744,512.608,628.234,-2.098829670725839,-7.774718534800681
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,3,1660681997043963858,1660681999116259858,2072,536.189,645.557,-0.30984132623580474,-9.082593379889046
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,4,1660681999139969858,1660682000227878858,1087,519.59,656.762,-1.5743838361112314,-9.925317237622929
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,5,1660682000272030858,1660682000731900858,459,627.228,624.81,6.597774888188926,-7.501483016229495
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,6,1660682000771994858,1660682001191901858,419,539.394,645.084,-0.06615545802420729,-9.047089829801068
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,7,1660682001435989858,1660682001907967858,471,471.461,639.573,-5.227189362256486,-8.617462797675202
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,8,1660682001936036858,1660682003707985858,1771,525.865,661.994,-1.0972326032932522,-10.320261916154612
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,9,1660682003731927858,1660682004003969858,272,531.892,662.741,-0.6379250857671934,-10.377068177496236
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,10,1660682004027984858,1660682004192002858,164,518.549,660.011,-1.6544507864917597,-10.169851330080483
