section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994187919858,492.598,635.502,0.0,,,-3.6199085833095266,-8.318020941629955
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994195997858,496.894,639.068,0.0,,,-3.2951489524272883,-8.58775743044791
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994199971858,497.978,640.443,0.0,,,-3.2133508226040637,-8.691625175992336
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994203970858,497.397,640.548,0.0,,,-3.257534781124277,-8.699416283013948
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994207984858,497.152,640.823,0.0,,,-3.2762268053250714,-8.72005427165423
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994216926858,496.878,637.959,0.0,,,-3.295911405614154,-8.504252052218154
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994219977858,497.176,638.489,0.0,,,-3.2735196015362678,-8.544265231864712
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994223998858,497.077,639.825,0.0,,,-3.281551816477559,-8.644819863706626
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994228133858,503.85,636.572,0.0,,,-2.765877160681954,-8.40136562880944
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994235974858,512.088,636.324,0.0,,,-2.140237136803356,-8.384268832412717
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994239999858,521.885,629.843,0.0,,,-1.3951127631962579,-7.897183299402315
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994243841858,521.883,629.78,0.0,,,-1.3953166941238262,-7.892457913158916
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994247830858,520.885,629.964,0.0,,,-1.4710857414290637,-7.906231085018923
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994256009858,518.495,631.589,0.0,,,-1.6527006140163618,-8.028392959690978
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994259834858,517.007,636.742,0.0,,,-1.7666834606976134,-8.416530678387778
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681994263895858,518.108,632.476,0.0,,,-1.6822960344679303,-8.09519599230651
