section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,1,1664921709001791168,1664921711837708168,2835,578.14,553.632,2.8587927866167884,-2.147597943476263
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,2,1664921711925706168,1664921712513842168,588,611.32,535.503,5.362477530508387,-0.7776794427537687
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,3,1664921712693852168,1664921715589879168,2896,599.593,537.981,4.477319174206624,-0.9652358926804597
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,4,1664921715697768168,1664921718461756168,2763,592.854,536.79,3.968582901766027,-0.8756925452714803
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,5,1664921718481763168,1664921718905728168,423,598.494,553.057,4.395586623980182,-2.10261839951243
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,6,1664921718925761168,1664921720121823168,1196,591.016,538.999,3.829937780547261,-1.042517532560017
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,7,1664921720253711168,1664921721345737168,1092,590.782,536.322,3.81213704153155,-0.8404738131973751
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,8,1664921721421751168,1664921721513749168,91,593.891,539.869,4.046963283426509,-1.1080276662379565
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,9,1664921721537769168,1664921721781745168,243,586.859,535.909,3.5160470600791287,-0.8094647420107289
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,10,1664921721853795168,1664921722053815168,200,596.022,535.022,4.207680745164718,-0.7421565837720523
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,11,1664921722073683168,1664921722253753168,180,580.777,529.616,3.0568353985106698,-0.3345921720631682
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,12,1664921722349736168,1664921722529725168,179,519.571,531.27,-1.562522789151953,-0.4598248746786568
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,13,1664921722569765168,1664921722657799168,88,564.851,490.704,1.8564493782578504,2.6044506835722334
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,14,1664921722785743168,1664921722865788168,80,596.664,560.272,4.25842145499638,-2.646995160657286
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,15,1664921722957704168,1664921723085729168,128,607.268,521.453,5.056639165943032,0.2820194096632942
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,16,1664921723117729168,1664921723237771168,120,570.022,509.136,2.2455599918216245,1.2119162956029221
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,17,1664921723257752168,1664921723569835168,312,585.229,510.148,3.3936179935348085,1.1352663238078209
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,18,1664921723593717168,1664921724457926168,864,637.967,521.126,7.374118377843864,0.30716837391655905
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,19,1664921724889764168,1664921724997762168,107,531.308,482.938,-0.67752707596872,3.1914694161883146
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,20,1664921725009781168,1664921725085788168,76,608.185,499.814,5.128311033263895,1.9147502988518634
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,21,1664921725837755168,1664921725969746168,131,586.748,509.483,3.5083772751661133,1.1855223194946238
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,22,1664921726089805168,1664921726161805168,72,558.775,535.777,1.3961993829246215,-0.8002454502163092
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,23,1664921729117805168,1664921729217789168,99,509.532,513.055,-2.3204192096576084,0.9158079596333115
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,24,1664921729338873168,1664921729457970168,119,550.954,512.15,0.8059929569081109,0.9842840386942294
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,25,1664921730677731168,1664921730857715168,179,450.24,536.204,-6.7928975848750905,-0.8289278875105207
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,26,1664921731521769168,1664921731593768168,71,367.731,655.012,-13.127660403365075,-9.69939291732807
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,27,1664921732141780168,1664921732241795168,100,593.633,520.438,4.027439156220047,0.35846305288457814
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,28,1664921732793753168,1664921732873743168,79,608.385,489.439,5.145585579799962,2.6977208523020058
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,29,1664921733174028168,1664921733381750168,207,596.609,493.623,4.255092386363806,2.382697336605285
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,30,1664921734673761168,1664921734777773168,104,588.891,514.807,3.6697658165980385,0.7835297486192031
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,31,1664921734825744168,1664921735065836168,240,578.259,503.625,2.8679409513718257,1.628063464689764
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,32,1664921735857903168,1664921736661763168,803,575.649,503.39,2.6708574001773813,1.6458083542322177
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,33,1664921737025793168,1664921737093796168,68,561.83,509.011,1.6271608793144465,1.2213655981966416
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,34,1664921737201829168,1664921740225802168,3023,582.402,513.118,3.1799832530001884,0.911036900549829
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,35,1664921740257879168,1664921740545842168,287,571.447,506.106,2.353327999203231,1.4407716273727895
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,36,1664921740645743168,1664921741709808168,1064,573.269,510.626,2.4906608890300435,1.0993363040919966
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,37,1664921741793764168,1664921742305726168,511,583.36,513.453,3.2522754946745343,0.8857195902161955
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,38,1664921742545745168,1664921742633720168,87,581.021,509.363,3.0759876305666025,1.1946514839782973
21ba69c3-94ae-4a3e-ba5c-740a6dfea81e,a2f4ce48-2180-4040-b51a-9fe4d15f7a5e,39,1664921742745847168,1664921743225717168,479,593.453,513.269,4.014288893216914,0.8996100304285625
