section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,1,1667597090149276558,1667597090489438558,340,536.487,580.502,-0.28619865786061166,-4.176773034196797
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,2,1667597090509434558,1667597092557416558,2047,531.79,573.954,-0.6410513319849048,-3.6825105459231544
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,3,1667597092577470558,1667597093289349558,711,513.461,562.567,-2.0247803659290464,-2.8222861160739576
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,4,1667597093309382558,1667597096185617558,2876,571.9,551.106,2.387445260335083,-1.9572123028287778
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,5,1667597096205369558,1667597096297402558,92,547.662,536.613,0.557421673298856,-0.8635175950706218
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,6,1667597096317423558,1667597096625535558,308,539.989,524.149,-0.02173894782942994,0.07782818532416022
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,7,1667597096657435558,1667597096725482558,68,533.407,529.668,-0.518416365963402,-0.3390120228412332
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,8,1667597096885418558,1667597096965441558,80,553.6,608.854,1.009618364613208,-6.315464694652752
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,9,1667597097065484558,1667597097181473558,115,419.561,631.482,-9.158991467877833,-7.98229075085471
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,10,1667597097221464558,1667597097337413558,115,471.885,595.898,-5.172775431659324,-5.329334263740155
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,11,1667597097421454558,1667597097593439558,171,562.942,517.516,1.7108104600885747,0.5789025228379991
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,12,1667597097673505558,1667597097809468558,135,582.208,518.504,3.1650873795764864,0.5043967069178671
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,13,1667597097833468558,1667597097974084558,140,524.836,511.787,-1.1654225051333214,1.0116232413673774
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,14,1667597098005410558,1667597098069370558,63,512.281,530.503,-2.1126813241983524,-0.40181472180655264
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,15,1667597098105762558,1667597098177404558,71,494.662,518.141,-3.4422443242580663,0.5317304775208221
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,16,1667597098200872558,1667597098449396558,248,469.748,541.299,-5.321892418661171,-1.2144715404391218
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,17,1667597098893478558,1667597098965455558,71,442.607,578.937,-7.378277496172757,-4.044536133679617
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,18,1667597099093446558,1667597099349558558,256,483.114,550.57,-4.314246607470927,-1.9147337253376404
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,19,1667597099369509558,1667597099637409558,267,429.608,554.522,-8.351371362536572,-2.2049326838019425
3a4d01ad-3443-499a-8069-d95faffac1af,dc6f5904-c20a-4bc0-bd2a-285b870bc614,20,1667597099737422558,1667597099889492558,152,433.431,566.574,-8.066372623085343,-3.1121687639097657
