section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,1,1676921047511462240,1676921059427393240,11915,570.719,519.386,2.297756499366058,0.4377143033958638
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,2,1676921059451498240,1676921060111476240,659,545.91,527.353,0.42520025413093826,-0.16416288645529273
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,3,1676921060131507240,1676921061847498240,1715,482.283,575.365,-4.380941151690551,-3.784259013067146
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,4,1676921061879635240,1676921062079483240,199,496.431,575.414,-3.3122910685941047,-3.7899608199716277
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,5,1676921062595482240,1676921062691472240,95,468.199,575.413,-5.444594037179682,-3.7853258436509902
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,6,1676921062911510240,1676921063171463240,259,471.236,560.834,-5.212053451263225,-2.687204800250189
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,7,1676921063215462240,1676921063775466240,560,474.03,553.917,-5.000116679325001,-2.1661932977593463
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,8,1676921063815590240,1676921063903545240,87,452.901,560.86,-6.595635253070376,-2.68626318561411
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,9,1676921064939457240,1676921065087523240,148,461.293,563.432,-5.962971373849079,-2.8814490951147964
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,10,1676921065267437240,1676921065687541240,420,480.795,567.473,-4.491675722773693,-3.1890783407028347
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,11,1676921065827450240,1676921066271540240,444,507.788,560.048,-2.452879166204691,-2.631809563318044
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,12,1676921066299515240,1676921066431477240,131,482.188,572.051,-4.387443265113378,-3.534413731862607
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,13,1676921066947454240,1676921067135485240,188,479.146,553.796,-4.6140358424817425,-2.1575920233064436
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,14,1676921067159539240,1676921067299598240,140,470.192,558.758,-5.290450952704596,-2.5306188532800458
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,15,1676921067395496240,1676921067783501240,388,447.816,587.716,-6.988639167054778,-4.7065891994994
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,16,1676921067987487240,1676921068155480240,167,451.496,587.319,-6.710420531079361,-4.677820186581167
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,17,1676921068227448240,1676921068423450240,196,477.106,600.728,-4.779782095573631,-5.694539425902338
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,18,1676921068443537240,1676921068667476240,223,428.098,568.57,-8.469431291904067,-3.260859077320239
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,19,1676921068759537240,1676921068851497240,91,486.233,570.355,-4.081652562299403,-3.4071454495365456
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,20,1676921068971488240,1676921069319502240,348,492.524,569.816,-3.6065161943479405,-3.3672689901598565
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,21,1676921069355471240,1676921069415490240,60,496.676,553.884,-3.2911476673122846,-2.1658907712939377
737c747e-7c59-471a-8094-31fd8dfbd402,f6664528-5bf2-4a6f-8d74-8d708b9b4d50,22,1676921069519494240,1676921069647468240,127,458.608,585.397,-6.1722944876131,-4.5350955696463044
