section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,1,1689965264309530643,1689965264501561643,192,561.34,1084.688,2.983461872692681,-38.52645607481535
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,2,1689965264521626643,1689965264705538643,184,541.694,1055.274,1.2040033472129392,-36.27257335105829
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,3,1689965264729560643,1689965264845558643,116,489.087,1079.866,-3.477000323775805,-38.161457829280515
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,4,1689965264877639643,1689965265413604643,536,485.81,1091.832,-3.809846282288827,-39.084141959731326
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,5,1689965265441560643,1689965266117537643,676,527.825,1018.319,-0.0026925584109607154,-33.44261670935796
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,6,1689965266149546643,1689965266925542643,776,529.146,975.716,0.11476864904339393,-30.19416437045276
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,7,1689965266945496643,1689965267305517643,360,615.335,1018.538,7.467751496561803,-33.36986161561559
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,8,1689965267410219643,1689965267625545643,215,707.825,1082.734,16.048167661735086,-37.977611230656585
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,9,1689965267653525643,1689965268169532643,516,713.358,1085.56,16.576518911092606,-38.1677118469324
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,10,1689965268201546643,1689965268281550643,80,686.133,1099.668,14.307348867348988,-39.36374643407837
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,11,1689965268341558643,1689965268445664643,104,646.079,1029.804,10.161184590478836,-34.15929572725522
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,12,1689965268477575643,1689965269689506643,1212,702.967,1069.718,15.463408083981447,-37.00779224945838
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,13,1689965269733519643,1689965269929540643,196,611.912,1089.184,7.535442269051333,-38.7928459794284
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,14,1689965270089571643,1689965270261615643,172,592.87,995.986,5.4785260068426975,-31.688801251119557
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,15,1689965270289541643,1689965270365529643,76,560.846,1015.571,2.812885334223346,-33.21706470266247
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,16,1689965270407108643,1689965270477758643,71,505.428,1043.678,-1.954622939632007,-35.383513983859395
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,17,1689965270497536643,1689965270617550643,120,518.264,994.114,-0.802907946131529,-31.59521958997289
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,18,1689965270637515643,1689965270957853643,320,558.45,1016.09,2.6094230795825277,-33.25858572445746
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,19,1689965271134001643,1689965271221534643,88,330.432,1089.62,-17.80054870477207,-38.487019898031335
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,20,1689965271241585643,1689965272237545643,996,324.303,1101.029,-18.53034952802416,-39.326928544191496
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,21,1689965272257550643,1689965272601587643,344,261.646,1118.435,-24.596369977644052,-40.276471559045284
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,22,1689965273101505643,1689965273177540643,76,697.182,465.312,12.863326906676447,8.243134602804762
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,23,1689965273237533643,1689965273437721643,200,527.79,619.977,0.024773678210110776,-3.344330422599695
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,24,1689965273637534643,1689965274141537643,504,272.629,387.164,-19.62823031819368,13.95273523986766
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,25,1689965274465578643,1689965275949525643,1484,873.25,650.805,26.093585837689982,-5.4685653042204025
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,26,1689965276037524643,1689965276429525643,392,437.485,819.317,-7.030328775730691,-18.32993061628595
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,27,1689965276541520643,1689965276853665643,312,849.466,689.683,24.39881409635717,-8.334413176462553
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,28,1689965276913551643,1689965276985552643,72,999.559,847.862,37.13758519676799,-19.231199915869123
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,29,1689965277013567643,1689965277237563643,224,962.017,820.388,33.87164188065079,-17.457613330056756
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,30,1689965277477603643,1689965277549548643,72,902.877,636.606,28.302888167858917,-4.408794531356246
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,31,1689965277821499643,1689965278637570643,816,639.214,848.758,8.783581888216776,-20.504177571612708
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,32,1689965279629538643,1689965279741530643,112,120.798,872.273,-32.44857782338468,-21.359534194491502
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,33,1689965280089532643,1689965280257632643,168,368.941,814.811,-12.366601301817314,-17.904267290163997
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,34,1689965280473546643,1689965281729600643,1256,460.592,787.18,-5.1786083582838875,-15.92911032989032
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,35,1689965282225569643,1689965282457572643,232,799.007,623.684,20.45401167894939,-3.5423423933824347
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,36,1689965282885506643,1689965283129534643,244,583.467,723.244,4.269539018757243,-11.116678378304222
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,37,1689965284213555643,1689965284305558643,92,904.509,845.503,29.59851493291916,-19.50209355021651
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,38,1689965284465568643,1689965284537593643,72,830.694,872.929,24.025100883617906,-21.796192525437352
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,39,1689965284573553643,1689965284733584643,160,746.441,881.43,17.407790099205634,-22.712542129082685
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,40,1689965284889599643,1689965284957581643,68,720.441,914.94,15.552285316027943,-25.287913537097058
3a06cbf4-549d-40f3-b9cf-abb2c55d203c,58457b90-cdd3-42eb-b189-720048281e57,41,1689965285101574643,1689965285717584643,616,556.5,829.41,2.2636989108001937,-19.123047203466207
