section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,1,1694466052026544240,1694466053878617240,1852,828.8,551.684,22.674540146598357,1.7575251814407618
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,2,1694466053898700240,1694466054266584240,368,820.343,529.56,22.05774595936122,3.3854514271133627
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,3,1694466054302603240,1694466056487181240,2185,873.423,492.361,26.12654691785028,6.0593483157549315
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,4,1694466056695209240,1694466056847415240,152,852.961,574.102,24.484270306201967,0.11242019339821487
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,5,1694466056895243240,1694466057375241240,480,850.606,499.688,24.386251402144367,5.550330004000545
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,6,1694466057415289240,1694466058227592240,812,919.136,545.2,29.486990621718853,2.194506262560129
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,7,1694466058319558240,1694466059167586240,848,820.297,486.666,22.1262969851557,6.536743637660805
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,8,1694466059459553240,1694466059675586240,216,560.614,520.517,2.502148026252481,4.154515477528505
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,9,1694466059719576240,1694466059839570240,120,678.878,493.052,11.443258495412403,6.1818751985792995
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,10,1694466059919574240,1694466060227576240,308,762.075,370.604,18.08182947317126,15.196967969523051
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,11,1694466060267784240,1694466060447563240,180,699.224,317.195,13.437377819423936,19.30285586871214
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,12,1694466060467640240,1694466061220934240,753,741.578,330.047,16.682915239909843,18.25274333987278
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,13,1694466061256945240,1694466061488942240,232,699.786,397.349,13.2068882211428,13.315842869422683
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,14,1694466061536986240,1694466062225006240,688,639.443,317.204,8.761676622502424,19.403062349653794
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,15,1694466062253007240,1694466062365214240,112,764.148,336.662,18.404501621867,17.707390978690825
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,16,1694466062513188240,1694466063625253240,1112,858.153,385.433,25.395459164173776,13.877596198561545
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,17,1694466063685211240,1694466063937215240,252,914.514,582.819,29.12321677118117,-0.5174946238855788
bb19ddb5-1b9a-4ec0-8ca3-dfab54a4397a,ae23a544-f428-4462-a3bb-9bb6defa8489,18,1694466064005208240,1694466064961213240,956,817.334,336.341,22.539151745279888,17.586487014106464
