recording id,timestamp [ns],name,type
132574bd-1681-4a91-817c-50b21122db00,1702230630558000000,recording.begin,recording
132574bd-1681-4a91-817c-50b21122db00,1702230718165692000,gaze.corrected,cloud
132574bd-1681-4a91-817c-50b21122db00,1702230882486834000,pprep.start,cloud
132574bd-1681-4a91-817c-50b21122db00,1702230999015727000,pprep.end,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231003245642000,pspeech.start,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231118826908000,pspeech.end,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231237418091000,cprep.start,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231353934246000,cprep.end,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231358116637000,cspeech.start,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231475929340000,cspeech.end,cloud
132574bd-1681-4a91-817c-50b21122db00,1702231629055000000,recording.end,recording
