section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,1,1698595559758097685,1698595560046227685,288,555.574,736.234,2.146733151511245,-12.104103615977937
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,2,1698595560066110685,1698595560606117685,540,568.135,823.821,3.1688232104749705,-18.696648376732334
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,3,1698595560910106685,1698595560990169685,80,543.31,1013.813,1.3170143729463397,-33.09366573040648
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,4,1698595561010300685,1698595561098100685,88,522.497,1000.376,-0.4494071990843585,-32.07271488055751
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,5,1698595561118123685,1698595561190306685,72,526.593,989.839,-0.1009655927514321,-31.26931161599661
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,6,1698595561242107685,1698595561402176685,160,516.246,973.485,-0.9580351277795934,-30.024851965607645
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,7,1698595561434193685,1698595563118139685,1684,574.902,923.822,3.829427383706648,-26.236116581981083
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,8,1698595563138071685,1698595563550087685,412,550.995,899.477,1.8737373522978324,-24.411095262106713
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,9,1698595563570114685,1698595566046132685,2476,610.842,947.624,6.816145638353183,-27.99441992162482
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,10,1698595566490068685,1698595566622089685,132,296.291,539.739,-17.447537106055915,2.666555411968473
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,11,1698595566754102685,1698595566990093685,236,284.685,653.424,-18.374678279114285,-5.7689574375298065
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,12,1698595567070113685,1698595567166094685,96,518.729,874.669,-0.706370068653155,-22.54376541862888
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,13,1698595567190071685,1698595567646091685,456,495.103,892.029,-2.603850735733273,-23.849655929808637
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,14,1698595567694084685,1698595567954275685,260,437.74,832.304,-7.039155152593497,-19.307136655816628
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,15,1698595568014083685,1698595568494294685,480,274.811,761.014,-19.44469967654093,-13.7262606418537
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,16,1698595568898079685,1698595569230111685,332,374.76,524.902,-11.530468699201565,3.801028767777006
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,17,1698595569326095685,1698595569466328685,140,407.03,558.93,-9.080941242101114,1.2545800468138506
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,18,1698595569566299685,1698595569686208685,120,572.329,627.51,3.385473580452762,-3.909418165223009
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,19,1698595569710110685,1698595569882254685,172,525.81,631.374,-0.1248484833944042,-4.203806387567297
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,20,1698595569914125685,1698595570126211685,212,615.946,593.765,6.666300499735602,-1.364022115871581
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,21,1698595570154096685,1698595570382123685,228,583.388,602.618,4.215261914959421,-2.0330304114964215
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,22,1698595570606187685,1698595570806077685,200,385.862,667.1,-10.72756968563669,-6.858961761590313
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,23,1698595570870102685,1698595570970084685,100,461.085,582.701,-5.0034981616882135,-0.5326680811011115
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,24,1698595571090086685,1698595571226113685,136,186.008,611.601,-25.799830853899483,-2.624481697743214
572271c1-d8f2-4c62-a9e7-2f73ebb6923c,e16ca543-d8d1-49ce-a363-b39e134970bd,25,1698595571266057685,1698595571402076685,136,248.187,548.443,-21.078459972375562,2.0062696718926674
