section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,1,1667924304577160358,1667924304757469358,180,402.53,590.026,-10.410898341289206,-4.862743306621765
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,2,1667924304857289358,1667924305141168358,283,433.564,597.846,-8.071139842640974,-5.463394050645959
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,3,1667924305165180358,1667924305345231358,180,445.461,604.234,-7.175299458930579,-5.948371414673641
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,4,1667924305365200358,1667924305585207358,220,432.9,592.564,-8.118140358102764,-5.066148327105927
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,5,1667924305753263358,1667924305861254358,107,399.16,622.517,-10.695248560174528,-7.2965319598727545
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,6,1667924305881212358,1667924305977190358,95,394.321,615.652,-11.054040643204521,-6.778962980650149
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,7,1667924305997226358,1667924306065291358,68,435.788,591.857,-7.8995700069444705,-5.014060909258643
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,8,1667924306485210358,1667924306601234358,116,371.583,576.828,-12.737673357732614,-3.859798263530282
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,9,1667924306665232358,1667924306761212358,95,387.351,586.696,-11.554672742053018,-4.605968916241017
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,10,1667924307441212358,1667924307573196358,131,327.074,614.963,-16.140560453143994,-6.6737488875201105
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,11,1667924307601221358,1667924307669234358,68,413.52,612.808,-9.598349416162081,-6.577419284533779
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,12,1667924307841191358,1667924307933345358,92,341.17,523.941,-15.013552603757171,0.10014983919054629
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,13,1667924308409478358,1667924308469461358,59,375.693,574.95,-12.426371484178311,-3.7211354321179013
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,14,1667924308665243358,1667924308805265358,140,548.688,610.093,0.6376485749463238,-6.4090604640214215
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,15,1667924308825290358,1667924308909223358,83,538.057,621.385,-0.16766443775933496,-7.260620589208915
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,16,1667924308933224358,1667924309033309358,100,485.524,631.578,-4.155167760755775,-8.020525662821717
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,17,1667924309053268358,1667924309185193358,131,444.743,629.553,-7.247556109129309,-7.851767209918387
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,18,1667924309205448358,1667924309289173358,83,471.212,630.005,-5.240258065843392,-7.89723499684171
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,19,1667924310321209358,1667924310385232358,64,626.343,558.809,6.499591378262072,-2.5328116198275685
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,20,1667924310633190358,1667924310701190358,68,488.721,599.865,-3.900800371108756,-5.63214263943743
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,21,1667924310733239358,1667924311093289358,360,530.14,535.957,-0.765016314615256,-0.8138903180083454
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,22,1667924311117460358,1667924311489211358,371,515.894,553.579,-1.8405445025332383,-2.144013846110135
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,23,1667924312405556358,1667924312497248358,91,506.341,578.57,-2.56411531389859,-4.029130369038664
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,24,1667924312645290358,1667924312853219358,207,413.46,613.437,-9.603503856763135,-6.624605080743569
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,25,1667924313153289358,1667924313293232358,139,549.333,647.482,0.6899405094906115,-9.227685049901712
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,26,1667924313321261358,1667924313405255358,83,533.801,618.975,-0.4902946803013974,-7.0787397115665485
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,27,1667924313445241358,1667924313529578358,84,550.926,665.519,0.8136050180894233,-10.586536502606258
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,28,1667924313665240358,1667924313729211358,63,562.735,597.139,1.6997851701279827,-5.431346062092592
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,29,1667924314117213358,1667924314189209358,71,562.9,590.38,1.7113833774085556,-4.921444035383795
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,30,1667924314289291358,1667924314421209358,131,569.599,616.538,2.2231960113345104,-6.89358870160271
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,31,1667924314461228358,1667924314573227358,111,559.417,606.439,1.449888976697315,-6.133025983541374
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,32,1667924314605278358,1667924314733883358,128,532.566,620.176,-0.5839954162827239,-7.169285274036537
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,33,1667924314793275358,1667924314881242358,87,530.382,628.08,-0.7501484039345071,-7.765005239896296
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,34,1667924314901221358,1667924314993245358,92,593.463,620.315,4.033847230048654,-7.174006671755833
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,35,1667924315045235358,1667924315141240358,96,535.024,638.085,-0.39818016585632643,-8.51941750649055
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,36,1667924315177336358,1667924315341187358,163,512.867,605.044,-2.0746553919636663,-6.026504681714759
ab8b0d5d-2c2c-4639-b770-a414fa8cac52,9a6cadda-04ee-495d-9b84-cd22041471ca,37,1667924315361253358,1667924315553260358,192,523.331,619.156,-1.284025419512296,-7.091680263127511
