blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1653150598547284944,1653150599299253944,751
2,1653150607747296944,1653150607879292944,131
3,1653150607887277944,1653150608547268944,659
4,1653150610651283944,1653150610843304944,192
5,1653150613059281944,1653150613355275944,295
6,1653150613655258944,1653150613999318944,344
7,1653150614555276944,1653150614915281944,360
8,1653150617179282944,1653150617459267944,279
9,1653150617463418944,1653150617883298944,419
10,1653150618263271944,1653150618747267944,483
11,1653150620743276944,1653150621135326944,392
12,1653150621459286944,1653150621839314944,380
13,1653150622655289944,1653150623067314944,412
14,1653150623907267944,1653150624223297944,316
15,1653150625139313944,1653150625507296944,367
16,1653150627631283944,1653150628003285944,372
17,1653150628763308944,1653150629063438944,300
18,1653150629339281944,1653150629595313944,256
19,1653150630211305944,1653150630487282944,275
20,1653150631143280944,1653150631511319944,368
21,1653150633991295944,1653150634339307944,348
22,1653150634947290944,1653150635307256944,359
23,1653150636063314944,1653150636443344944,380
24,1653150637371272944,1653150637739286944,368
25,1653150638947275944,1653150639343302944,396
26,1653150641399291944,1653150641755280944,355
27,1653150642843500944,1653150643223331944,379
28,1653150644771281944,1653150645131288944,360
29,1653150646311300944,1653150646655279944,343
30,1653150647587294944,1653150647967287944,379
31,1653150649891247944,1653150650247375944,356
32,1653150650695270944,1653150651071282944,376
33,1653150651727271944,1653150652107283944,380
34,1653150653271256944,1653150653699302944,428
35,1653150654979289944,1653150655263305944,284
36,1653150657335292944,1653150657575301944,240
37,1653150661035762944,1653150661331264944,295
38,1653150664043287944,1653150664319305944,276
39,1653150669743294944,1653150670131300944,388
40,1653150672319339944,1653150672675260944,355
41,1653150673343314944,1653150673679305944,335
42,1653150674339252944,1653150674723290944,384
43,1653150677275317944,1653150677547326944,272
44,1653150677639261944,1653150677983353944,344
45,1653150679967278944,1653150680291294944,324
46,1653150682243327944,1653150682547270944,303
47,1653150682763267944,1653150683051259944,287
48,1653150685807284944,1653150686175288944,368
49,1653150686235388944,1653150686603337944,367
50,1653150687951304944,1653150688307327944,356
51,1653150690631288944,1653150690979278944,347
52,1653150691795293944,1653150692163314944,368
53,1653150692811285944,1653150693179408944,368
54,1653150694303344944,1653150694663303944,359
55,1653150696623268944,1653150696963280944,340
56,1653150698719295944,1653150699059285944,339
57,1653150700435314944,1653150700843292944,407
58,1653150703287397944,1653150703647288944,359
59,1653150704207304944,1653150704603302944,395
60,1653150705003279944,1653150705363297944,360
61,1653150708303263944,1653150708663325944,360
62,1653150711343280944,1653150711655287944,312
63,1653150713471265944,1653150713843263944,371
64,1653150716267336944,1653150716579289944,311
65,1653150717339288944,1653150717699287944,359
66,1653150717751265944,1653150718171316944,420
67,1653150719767300944,1653150720147268944,379
68,1653150721003326944,1653150721383349944,380
69,1653150721599324944,1653150721987643944,388
70,1653150722347258944,1653150722731307944,384
71,1653150723155281944,1653150723343274944,187
72,1653150724603299944,1653150724899266944,295
73,1653150725695292944,1653150726171295944,476
74,1653150726931344944,1653150727175288944,243
75,1653150727843295944,1653150728067263944,223
76,1653150728087270944,1653150728443314944,356
77,1653150728879266944,1653150729131348944,252
78,1653150729211276944,1653150729667299944,456
79,1653150732107270944,1653150732215287944,108
80,1653150734187304944,1653150734491300944,303
81,1653150735187312944,1653150735511310944,323
82,1653150735887292944,1653150736235273944,347
83,1653150737607277944,1653150737983385944,376
84,1653150739459274944,1653150739915272944,455
85,1653150740319291944,1653150740683673944,364
86,1653150742011313944,1653150742227277944,215
87,1653150744215280944,1653150744523381944,308
88,1653150745511277944,1653150745903444944,392
89,1653150747343304944,1653150747743525944,400
90,1653150754419277944,1653150754763284944,344
91,1653150759651293944,1653150760115269944,463
92,1653150762963308944,1653150763311269944,347
93,1653150763451566944,1653150763815262944,363
94,1653150763819286944,1653150764199451944,380
95,1653150765779255944,1653150766151306944,372
96,1653150766487288944,1653150766727302944,240
97,1653150766735285944,1653150767143344944,408
98,1653150768459279944,1653150768767274944,307
