blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1656774533457242176,1656774533837195176,379
2,1656774534057233176,1656774534265261176,208
3,1656774535297234176,1656774535649243176,352
4,1656774536321330176,1656774536509370176,188
5,1656774536533247176,1656774536873234176,339
6,1656774620873253176,1656774621101347176,228
7,1656774622817270176,1656774623021670176,204
8,1656774624385367176,1656774624605254176,219
9,1656774629985430176,1656774630233240176,247
10,1656774631797253176,1656774632025257176,228
11,1656774634097251176,1656774634253248176,155
12,1656774982165505176,1656774982349244176,183
13,1656775045437302176,1656775045677234176,239
14,1656775055881282176,1656775056137254176,255
15,1656775362609449176,1656775362781304176,171
16,1656775362785506176,1656775363057352176,271
17,1656775364965402176,1656775365069410176,104
