section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,1,1648225443039617228,1648225444419660228,1380,440.235,571.452,-7.051218660243053,-1.6310922445737575
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,2,1648225444479618228,1648225444851588228,371,432.3,568.683,-7.649890491730082,-1.4219645666729832
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,3,1648225444907660228,1648225445183586228,275,452.933,566.995,-6.091983139198814,-1.2966087084148985
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,4,1648225445215595228,1648225445383604228,168,458.411,568.104,-5.678588028404533,-1.3805283607227792
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,5,1648225445403617228,1648225446031617228,628,459.782,562.811,-5.574615940326795,-0.9818667283116562
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,6,1648225446123613228,1648225446307595228,183,459.175,552.572,-5.620004342419201,-0.21039729657769585
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,7,1648225446327618228,1648225446627603228,299,462.671,563.273,-5.356550710912666,-1.016800427868412
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,8,1648225446655788228,1648225447251594228,595,453.199,554.73,-6.071087642008132,-0.3728449193567867
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,9,1648225447271581228,1648225447523764228,252,446.181,557.699,-6.60091862445442,-0.5961993966877711
ffefa47b-efe7-4591-8e2f-c313002e1682,d755cfed-ed0c-46eb-828a-0b7f6abf1ca2,10,1648225447579631228,1648225447911614228,331,450.239,553.694,-6.294496546671342,-0.29469204324607623
