section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,1,1651436984396591923,1651436984956639923,560,531.193,600.172,-0.18581452334613952,-3.8021346764406707
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,2,1651436985012668923,1651436987996619923,2983,543.962,591.834,0.7785387245156852,-3.172941695020414
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,3,1651436988020675923,1651436988836630923,815,525.608,584.928,-0.6071929743925478,-2.6522146633370967
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,4,1651436988932643923,1651436990164662923,1232,541.51,580.544,0.5932049239026493,-2.321409480968817
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,5,1651436990176655923,1651436990264592923,87,508.618,592.032,-1.8905694404811575,-3.187722152053241
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,6,1651436990536613923,1651436991100576923,563,531.855,585.21,-0.13551845809519322,-2.6734685292197042
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,7,1651436991132604923,1651436991220593923,87,513.541,593.041,-1.5188250074344751,-3.2639996420534967
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,8,1651436991252624923,1651436991540616923,287,492.849,578.976,-3.079941458786344,-2.2022088494207708
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,9,1651436991604710923,1651436991888607923,283,528.056,574.37,-0.4221602723587249,-1.8557248077573167
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,10,1651436991916691923,1651436992108627923,191,548.452,574.491,1.1169589063211942,-1.8645911785409683
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,11,1651436992140553923,1651436992552682923,412,541.137,574.437,0.5649991065149815,-1.8607027044360838
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,12,1651436992636675923,1651436993212976923,576,544.811,576.595,0.842293433561962,-2.0233945679436087
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,13,1651436993232777923,1651436993412615923,179,540.977,574.437,0.5529757229143156,-1.8606675552719383
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,14,1651436993448592923,1651436993653002923,204,535.651,575.904,0.15102612789390948,-1.9714687236413737
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,15,1651436993680688923,1651436993904677923,223,547.289,575.968,1.0292649113680619,-1.9760535574811313
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,16,1651436993932646923,1651436994932638923,999,526.954,575.127,-0.5053234488372548,-1.9128303578741708
2a951833-5650-42f1-b20f-87512259e03c,43a6f17a-c63d-4c65-a904-15beb17955d1,17,1651436995000618923,1651436995060585923,59,538.331,585.195,0.35329624294522755,-2.6723357269740613
