section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,1,1654104394415053831,1654104394523074831,108,484.972,601.496,-3.678545943028227,-3.8995845408666647
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,2,1654104394551066831,1654104394787019831,235,410.49,617.205,-9.318321500614404,-5.064383099514015
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,3,1654104394887066831,1654104395611054831,723,421.994,628.759,-8.45584351915807,-5.9368164066333735
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,4,1654104395739139831,1654104395927117831,187,403.126,642.36,-9.898228553670958,-6.949352106914926
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,5,1654104395947058831,1654104396043083831,96,385.466,641.274,-11.236524077723669,-6.857793909485852
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,6,1654104396195061831,1654104396315064831,120,394.895,655.124,-10.537856024159863,-7.901857039943346
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,7,1654104396335075831,1654104396999145831,664,399.062,633.536,-10.197445503896041,-6.285178486024856
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,8,1654104397091045831,1654104397175046831,84,358.598,637.707,-13.269806424516265,-6.573403938639324
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,9,1654104397235078831,1654104398147065831,911,380.639,631.582,-11.59159265154084,-6.128865622625286
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,10,1654104398167079831,1654104398523041831,355,385.618,618.393,-11.201643676387189,-5.143132810743874
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,11,1654104398543014831,1654104398691025831,148,371.627,637.123,-12.281079747845569,-6.538351075399813
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,12,1654104398715028831,1654104398871025831,155,402.68,644.134,-9.933993725843333,-7.0822324847413425
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,13,1654104398891086831,1654104399975036831,1083,397.712,623.948,-10.290926122572973,-5.565233422578688
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,14,1654104400047036831,1654104400643066831,596,482.093,623.869,-3.9024638059011,-5.585502855273033
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,15,1654104400671026831,1654104400983052831,312,536.414,617.865,0.20860749752722293,-5.1364614038728
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,16,1654104401023097831,1654104401091044831,67,487.488,681.636,-3.5189719844578926,-9.938803273926904
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,17,1654104401115050831,1654104401183072831,68,523.236,659.884,-0.792257602234627,-8.304541942022382
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,18,1654104401211061831,1654104402451027831,1239,526.5,620.906,-0.5413906300177996,-5.365894257529138
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,19,1654104402911052831,1654104402979144831,68,452.197,526.001,-6.149020386061749,1.7912646096039149
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,20,1654104403575026831,1654104403643064831,68,501.826,536.972,-2.40142013948364,0.9659266305004262
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,21,1654104403855132831,1654104404255043831,399,588.091,571.836,4.107063711795201,-1.6625868460158484
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,22,1654104404351163831,1654104404411074831,59,423.626,658.01,-8.358514057119573,-8.135420893560513
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,23,1654104404551023831,1654104404743052831,192,584.631,595.24,3.84915720630401,-3.426721000030942
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,24,1654104404779432831,1654104404891076831,111,600.186,579.234,5.020110189177683,-2.218975220402129
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,25,1654104404963024831,1654104405111015831,147,594.298,604.511,4.581068357734052,-4.123809602343327
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,26,1654104405131052831,1654104405235062831,104,559.964,587.047,1.9863159294433166,-2.8112460118819738
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,27,1654104405271087831,1654104405387061831,115,599.058,609.92,4.942075332732808,-4.530261480119372
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,28,1654104405579060831,1654104405791049831,211,516.998,650.929,-1.2645095819602146,-7.629302125445616
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,29,1654104406263034831,1654104406587074831,324,582.682,581.356,3.7000832316810772,-2.380519497598234
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,30,1654104406703049831,1654104406959064831,256,582.996,618.938,3.731022300888798,-5.212638390013385
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,31,1654104406979089831,1654104407083028831,103,552.073,623.383,1.3933143239590888,-5.55178334312016
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,32,1654104407119273831,1654104407199054831,79,574.8,613.19,3.110192237553485,-4.780836716497312
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,33,1654104407231036831,1654104407299245831,68,599.498,643.642,4.989111288949504,-7.0692270464637845
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,34,1654104407394990831,1654104407503081831,108,513.876,587.342,-1.4930665428525645,-2.8341606992904675
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,35,1654104407943033831,1654104408035016831,91,546.38,606.024,0.961693723510346,-4.243135934389469
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,36,1654104409039024831,1654104409107167831,68,570.73,579.654,2.7981735307271816,-2.2530382885649733
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,37,1654104409327013831,1654104409395034831,68,545.494,665.697,0.8987515664779256,-8.742071479647123
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,38,1654104409595033831,1654104409695232831,100,559.309,557.991,1.9356672300669857,-0.6197483279975723
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,39,1654104409783020831,1654104409843034831,60,467.204,581.341,-5.016673917701974,-2.378604488407777
a85d4e5b-d375-48aa-a4ab-f65c440adb12,78cba7b6-c796-43a7-89e9-88f8ecfe2382,40,1654104409983076831,1654104410051042831,67,533.448,547.822,-0.015142658628004695,0.14732293332102306
