section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,1,1666377875504741929,1666377875828697929,323
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,2,1666377877000686929,1666377877380618929,379
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,3,1666377878128646929,1666377878488668929,360
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,4,1666377878576798929,1666377878868734929,291
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,5,1666377881796695929,1666377882168660929,371
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,6,1666377888312644929,1666377888740745929,428
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,7,1666377890852695929,1666377891280728929,428
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,8,1666377902464658929,1666377902804690929,340
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,9,1666377905164704929,1666377905504907929,340
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,10,1666377910848700929,1666377911172695929,323
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,11,1666377913800690929,1666377914080678929,279
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,12,1666377914956659929,1666377915212696929,256
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,13,1666377915352719929,1666377915700653929,347
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,14,1666377929028687929,1666377929376692929,348
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,15,1666377931152662929,1666377931476673929,324
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,16,1666377932764726929,1666377932992687929,227
33d6b83a-b5ca-487b-95bc-aad8d010fb06,e3981991-4fac-47cb-b34e-db704fadd468,17,1666377936180616929,1666377936460832929,280
