section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,1,1671555576967358597,1671555576987613597,20,21.91453363850475,1.6544182889242296,1099.592328303715,1202.9836459925978
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,2,1671555577099260597,1671555577399297597,300,97.28143309289582,7.345119111693234,2024.9759120365738,5977.663486442168
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,3,1671555579647956597,1671555579679457597,31,24.405412279386955,1.8428428399999297,976.2435192738776,1061.2792729238756
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,4,1671555579867284597,1671555579891407597,24,33.27601961007119,2.5107019661944445,1336.0220008389829,1610.6141747288962
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,5,1671555582435223597,1671555582455263597,20,25.590900498118064,1.926081053975646,1274.7525860739959,1378.6820295173916
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,6,1671555584807629597,1671555584903282597,95,39.27764954272298,2.9508984357357173,780.7420145336282,1419.1477837367243
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,7,1671555585099263597,1671555585139251597,39,56.36410317402525,4.248937141205838,1407.0297837404646,1711.8970469558697
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,8,1671555586327220597,1671555586347258597,20,21.122651536893514,1.591268911095016,1123.6471189807899,1223.6913887927574
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,9,1671555586815245597,1671555586847341597,32,29.07462348335882,2.1895214973953543,1091.4821371456567,1304.898077192352
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,10,1671555591347299597,1671555591471340597,124,391.8518170097756,29.567116138229082,3446.4577241699776,6536.967260429607
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,11,1671555591591291597,1671555591631291597,40,106.01414562148057,8.061276694621592,2646.944153656921,3710.0247551079306
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,12,1671555591867359597,1671555591907198597,39,75.15129949113133,5.500607661403219,1858.4756379578253,2511.158959548849
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,13,1671555592155282597,1671555592403314597,248,206.85188459666043,15.161560818155362,921.0911228683018,2062.095390124487
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,14,1671555592963224597,1671555593035141597,71,259.976010437667,19.568668469923683,3686.617924865962,5469.947172785544
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,15,1671555593191291597,1671555593231572597,40,70.3744676742953,5.301247971219252,1901.193605271128,2579.7409416646483
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,16,1671555593447250597,1671555593479300597,32,33.83966669292329,2.551743505398021,1348.5069237133268,1631.172681152788
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,17,1671555593599304597,1671555593627235597,27,24.99146846748676,1.8845420298983093,1321.371323182008,1487.7160552583152
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,18,1671555594095297597,1671555594195175597,99,410.46406043067867,30.91275913139401,4184.9733783286565,8829.257489200472
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,19,1671555594275257597,1671555594303142597,27,27.126756310423044,2.0459062496162126,994.6465636547117,1173.3073329720742
767709e3-8cee-4e96-9c9c-763980c50345,e7b85b6b-394d-44da-a35e-fe47841ae0fb,20,1671555594427299597,1671555594563301597,136,226.14786645519837,17.00231997755763,1913.4268634390335,5489.358409261691
