section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,1,1656088661896564270,1656088662156544270,259,700.012,770.285,11.402966266262439,-16.853203839947152
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,2,1656088662192496270,1656088664056570270,1864,647.71,781.391,7.364663336838517,-17.752658887805534
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,3,1656088664120469270,1656088664632481270,512,430.374,806.271,-9.640603915089681,-19.590357848156152
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,4,1656088665116471270,1656088665276492270,160,382.052,941.985,-14.236589785142991,-29.685781279573867
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,5,1656088665776480270,1656088665932512270,156,793.926,582.779,18.169319727737594,-2.7644834020485587
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,6,1656088665996509270,1656088666076397270,79,644.707,507.941,6.9103238295857645,2.8292177583644715
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,7,1656088666113210270,1656088666184510270,71,568.817,501.522,1.1817757074685749,3.32045098865178
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,8,1656088666532466270,1656088666688454270,155,491.272,484.735,-4.67944149762169,4.583597253852328
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,9,1656088667236412270,1656088667376468270,140,815.255,578.032,19.776126471867464,-2.4040756085206647
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,10,1656088667440586270,1656088667628529270,187,729.79,477.179,13.356642449915439,5.113475092524422
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,11,1656088667856464270,1656088667956339270,99,762.494,459.627,15.854403688973878,6.404114225306923
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,12,1656088668616372270,1656088668988405270,372,730.854,671.635,13.520184708914915,-9.431190831106314
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,13,1656088669200376270,1656088669280677270,80,467.869,614.532,-6.451367379502211,-5.201001150377347
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,14,1656088669604477270,1656088669968463270,363,296.611,467.609,-19.42354748190097,5.774580590034307
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,15,1656088670072840270,1656088670312475270,239,846.63,473.28,22.20287702633673,5.32382778593901
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,16,1656088670340459270,1656088670480485270,140,869.548,517.093,23.878007327488152,2.0893997411174072
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,17,1656088670540453270,1656088670848433270,307,707.546,346.962,11.916921949218871,14.891549990090141
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,18,1656088670892556270,1656088671028519270,135,719.229,248.355,13.212618872805514,22.27428570083245
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,19,1656088671060466270,1656088671376493270,316,767.755,200.901,17.41552461064095,25.707311437113027
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,20,1656088671460595270,1656088671724585270,263,743.801,173.993,15.672842409129426,27.80440466833666
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,21,1656088671852523270,1656088672020525270,168,348.046,130.76,-17.279784567800235,31.021657715405947
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,22,1656088672060461270,1656088672344445270,283,427.599,40.273,-11.270281354162005,38.20973850187354
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,23,1656088672420454270,1656088673016490270,596,579.13,416.245,1.9774645413685243,9.759742227061759
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,24,1656088673088502270,1656088673220444270,131,587.355,743.246,2.636868524980927,-14.918329338595473
