section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,1,1663357611280411810,1663357612003890810,723,763.636,562.404,15.873791843598601,-1.2579115340765106
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,2,1663357612215884810,1663357612419874810,203,174.001,624.585,-28.73494106383861,-5.722816558671748
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,3,1663357612603897810,1663357613991861810,1387,716.46,580.909,12.322841454282452,-2.651604944516469
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,4,1663357614036551810,1663357614451858810,415,631.168,605.605,5.894916590364396,-4.530057687143185
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,5,1663357614491876810,1663357614752024810,260,696.474,608.868,10.831537173547662,-4.754627882816624
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,6,1663357614783881810,1663357615111877810,327,674.202,708.518,9.267218089342927,-12.249601252601053
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,7,1663357615143853810,1663357615447886810,304,640.756,758.568,6.781244131841084,-16.041856871493668
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,8,1663357615647879810,1663357615763874810,115,547.719,744.49,-0.42110442414676336,-15.017468986906584
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,9,1663357616079878810,1663357616439969810,360,618.072,692.875,4.95593120778826,-11.109860659108397
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,10,1663357616480062810,1663357616823900810,343,596.251,599.042,3.2547852399864285,-4.040830362302954
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,11,1663357616859886810,1663357617071859810,211,648.41,618.25,7.204504821957917,-5.477744311870219
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,12,1663357617235860810,1663357617871852810,635,627.73,550.143,5.624102274920053,-0.35028843792186953
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,13,1663357617915897810,1663357618063875810,147,589.961,647.774,2.7914630055313414,-7.718105469158231
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,14,1663357618111883810,1663357618459894810,348,635.202,695.193,6.266366246653694,-11.275878497851572
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,15,1663357618503856810,1663357618951856810,448,552.176,588.712,-0.07493535463517298,-3.2634101359342464
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,16,1663357619003891810,1663357619247867810,243,508.689,805.674,-3.492237940699404,-19.621799063197994
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,17,1663357619303892810,1663357620751854810,1447,634.521,596.985,6.144978863809519,-3.8798615634601825
