blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1653084201381763465,1653084201685783465,304
2,1653084204957744465,1653084205221801465,264
3,1653084205457853465,1653084205781779465,323
4,1653084216906552465,1653084217177755465,271
5,1653084225653818465,1653084225945751465,291
6,1653084232621757465,1653084232889957465,268
7,1653084233349735465,1653084233657851465,308
8,1653084234765804465,1653084235105824465,340
9,1653084253057766465,1653084253322448465,264
10,1653084253326073465,1653084253729762465,403
11,1653084258361948465,1653084258685822465,323
12,1653084262341762465,1653084262566220465,224
13,1653084263133779465,1653084263461841465,328
14,1653084264449766465,1653084264665746465,215
15,1653084265209866465,1653084265529773465,319
16,1653084266885780465,1653084267381773465,495
17,1653084267721798465,1653084268217755465,495
18,1653084290865973465,1653084291270058465,404
19,1653084294349741465,1653084294697754465,348
20,1653084296621734465,1653084296993759465,372
21,1653084310149762465,1653084310413736465,263
22,1653084317497772465,1653084317857733465,359
23,1653084320841746465,1653084321129818465,288
24,1653084321949829465,1653084322249901465,300
25,1653084324929915465,1653084325197772465,267
26,1653084329013758465,1653084329317750465,303
27,1653084330901814465,1653084331217758465,315
28,1653084331401733465,1653084331777773465,376
29,1653084353621842465,1653084353969756465,347
30,1653084369529773465,1653084369741812465,212
31,1653084370669755465,1653084370797759465,128
32,1653084391369763465,1653084391605790465,236
33,1653084394557726465,1653084394809766465,252
34,1653084395481853465,1653084395725832465,243
35,1653084399997740465,1653084400361765465,364
36,1653084401713790465,1653084401969770465,255
37,1653084402337742465,1653084402726285465,388
38,1653084411189771465,1653084411369952465,180
39,1653084411377823465,1653084411501941465,124
40,1653084412365802465,1653084412533757465,167
41,1653084413161795465,1653084413549808465,388
42,1653084420817749465,1653084421121772465,304
43,1653084422033775465,1653084422345788465,312
44,1653084423029768465,1653084423381774465,352
45,1653084424721754465,1653084424961756465,240
46,1653084426333821465,1653084426709773465,375
47,1653084427049803465,1653084427245753465,195
48,1653084428289778465,1653084428489761465,199
49,1653084428493735465,1653084428837772465,344
50,1653084429969910465,1653084430153786465,183
51,1653084431857776465,1653084432141807465,284
52,1653084435753762465,1653084435881751465,127
